item_id,domain,question,gold_letter,gold_option_text,gold_option_audit_verdict,item_validity_verdict,gold_reference_status,audit_priority,option_set_verdict,defensible_non_gold_count,defensible_non_gold_letters,strong_contextual_distractor_count,unsafe_option_count,evidence_cluster_ids,source_ids,key_finding,v0_6_action,future_release_action,confidence,review_identity
SGS-011,organic_chemistry,导电聚合物/碳黑复合膜对 VOC 响应升高。若碳黑接近渗流阈值，主要风险是？,C,考察渗流阈值附近器件重复性,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,3,0,E12;E13;E20;E22,EXT-NIST-RSM;EXT-PANI-VIRJI;EXT-LOD,渗流阈值附近微小组成和形貌波动会放大电阻与重复性差异。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-013,organic_chemistry,加入增塑剂后 NO2 纸带响应提高，但对乙醇蒸气也明显变色。最佳结论是？,A,判定增塑剂引入分配或溶胀混杂,supported_best_with_major_caveat,valid_with_major_caveat,gold_is_hypothesis_not_conclusion,P1,major_option_set_caveat,2,B;C,0,0,E01;E11;E12;E15,EXT-NIST-RSM;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-COFFEE-RING,乙醇交叉响应支持增塑剂引入分配/溶胀混杂的候选解释，但尚不能作为确定结论；B、C才是区分路径。,retain_frozen_record_audit_only,future_release_clarify_conditions_or_source,high,专家 X
SGS-014,organic_chemistry,向有机显色体系加入氧化还原介体后响应加快。若空白也缓慢变色，优先判定为？,B,介体提速并削弱体系储存稳定性,supported_but_not_unique,ambiguous_multiple_defensible,gold_not_unique,P1,gold_uniqueness_or_validity_failure,1,C,0,0,E05;E11;E12;E13;E15,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-NIST-RSM;EXT-COFFEE-RING,介体降低储存稳定性是上位解释，基膜吸附和光诱导循环是具体可行机制；无暗/光、基膜和无介体对照不能优先B。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-015,organic_chemistry,依靠氢键识别丙酮的薄膜在高湿下失去选择性。最合理的优化思路是？,C,构建疏水微环境削弱水竞争识别,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,1,0,E01;E02;E05;E19,EXT-NIST-RSM;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,疏水微环境可削弱水竞争，但也可能改变丙酮分配；应视为设计方向而非保证选择性提升。,retain_frozen_record_audit_only,retain_with_documented_caveat,medium_high,专家 X
SGS-012,organic_chemistry,显色纸带在实验室灯光下放置 2 小时基线变深。下一步最合理的是？,D,建立避光与照光老化对照组,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,2,0,E12;E15;E22,EXT-NIST-RSM;EXT-COFFEE-RING;EXT-LOD,避光/照光对照能直接判断光老化贡献，优先级明确。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-017,organic_chemistry,同一染料负载量提高后，低浓度 H2S 纸带颜色更深但线性区缩短。最佳解释是？,A,高负载使低浓度段提前接近饱和,questionable_gold,questionable_gold,gold_scientifically_weak,P1,gold_uniqueness_or_validity_failure,3,B;C;D,0,0,E10;E15;E22,EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-COFFEE-RING;EXT-LOD,提高受体负载通常增加容量，不必然让低浓度段化学饱和；光学自吸收、背景加深、聚集和有效反应层变化均可压缩线性，A不具唯一性。,retain_frozen_record_audit_only,future_release_rewrite_gold_and_options,high,专家 X
SGS-016,organic_chemistry,芳胺受体用有机酸成盐后水相更澄清。作为气敏纸带配方，仍需优先确认什么？,D,确认酸化是否抑制目标显色反应,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,2,0,E01;E15;E20;E21,EXT-NIST-RSM;EXT-COFFEE-RING;EXT-PANI-VIRJI;EXT-NIST-GAS,酸化是否抑制目标反应是关键功能门；残留酸与干燥同样重要但属于后续工艺/稳定性验证。,retain_frozen_record_audit_only,retain_with_documented_caveat,medium_high,专家 X
SGS-020,physical_chemistry,某 MOS 传感器升温后 H2 响应增大，但恢复明显变慢。最合理的研发判断是？,B,评估响应增强与脱附变慢的权衡,questionable_gold,questionable_gold,gold_restates_observation,P1,gold_uniqueness_or_validity_failure,2,A;D,0,0,E05;E19,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,升温通常加快脱附；若恢复反而变慢，应考虑不可逆反应、相变、烧结或传质/测量问题。B仅重述权衡且把“脱附变慢”当成既定机制。,retain_frozen_record_audit_only,future_release_rewrite_gold_and_options,high,专家 X
SGS-021,physical_chemistry,气敏响应在低浓度近似线性，高浓度趋于平台。拟合时最应避免什么？,C,避免平台区并入单一直线拟合,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,0,0,E05,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE,平台区并入单一直线会造成模型失配；C明确指出应避免的做法。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-023,physical_chemistry,同一材料厚膜响应更高但 T90 变长。最适合的解释是？,A,厚膜增加扩散路径并拉长响应时间,incomplete_gold,ambiguous_incomplete_gold,gold_explains_only_half,P1,gold_uniqueness_or_validity_failure,1,B,0,0,E04;E05;E22,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-LOD,A解释T90变长，B解释响应提高；题干要求解释两个现象，最佳答案应组合吸附容量增加与扩散路径增长。,retain_frozen_record_audit_only,future_release_rewrite_gold_and_options,high,专家 X
SGS-024,physical_chemistry,Pd 修饰 SnO2 后 H2 响应增强。若要区分催化溢流和电子敏化，最有用的是？,B,比较功函数、价带和表面态证据,supported_best_with_major_caveat,valid_with_major_caveat,gold_partial,P1,major_option_set_caveat,1,D,2,0,E01,EXT-NIST-RSM,功函数/价带/表面态有助于电子敏化判断，但不能单独区分催化溢流；还需反应动力学、原位表面物种及粒径/分散控制，D不是次要可省。,retain_frozen_record_audit_only,future_release_clarify_conditions_or_source,high,专家 X
SGS-025,physical_chemistry,UV 辅助室温 NO2 传感响应提高。产品化评估时最不能漏掉的是？,C,评估 LED 功耗和光照老化风险,supported_but_not_unique,ambiguous_multiple_defensible,gold_product_relevant_but_not_unique,P1,gold_uniqueness_or_validity_failure,0,,0,0,E05;E12;E13,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM,产品化确需LED功耗和光老化，但暗态对照是确认光照增益真实性的基础；A与C都属于不能漏掉的验证。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-022,physical_chemistry,SnO2 传感器对乙醇响应在高湿下降低。下列哪项最适合作为首轮假设？,D,假设水分子竞争表面活性位点,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,2,0,E02;E11;E19,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,水竞争表面位点是合理首轮假设，但湿气制备可能改变乙醇实际浓度，B应作为同步质量控制。,retain_frozen_record_audit_only,retain_with_documented_caveat,medium_high,专家 X
SGS-026,physical_chemistry,传感器低温下响应高但恢复差，短时加热脉冲可恢复基线。最佳表述是？,D,把短时热脉冲定义为基线再生策略,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_reasonable,P2,minor_option_set_caveat,0,,1,0,E01;E05;E10;E13,EXT-NIST-RSM;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO,短时热脉冲可定义为再生策略，但仍需验证循环老化、功耗和温度安全边界。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-027,physical_chemistry,湿度从 20%RH 升到 80%RH 后再降回 20%RH，基线未恢复。最合理的处理是？,A,标记湿度循环滞后并分段评价基线,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,2,0,E01;E02;E05,EXT-NIST-RSM;EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE,应保留并分段报告湿度滞后，不能用平均基线抹平；C可作为进一步恢复性测试。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-028,physical_chemistry,比较 n 型和 p 型电阻式传感器时，响应指标最应注意什么？,B,统一 n 型与 p 型传感器响应指标方向,supported_but_not_unique,ambiguous_multiple_defensible,gold_incomplete,P1,gold_uniqueness_or_validity_failure,2,C;D,1,0,E12,EXT-NIST-RSM,统一方向有利于排名，但必须同时保留Ra、Rg、原始比值和定义；C、D也是规范比较所需，B单独执行可能掩盖物理含义。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-029,physical_chemistry,某低浓度点平均响应高于空白，但标准差与空白重叠。最稳妥结论是？,C,用空白噪声和统计准则判定 LOD,supported_unique_best,valid,gold_unique,P3,clean_option_set,0,,1,0,E12;E22,EXT-NIST-RSM;EXT-LOD,均值高于空白但分布重叠不足以宣称检出，应依据空白噪声、校准斜率和预定统计准则判断LOD。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-067,general_chemistry,某受体水溶性很好。作为气敏膜组分，为什么仍不能直接判优？,C,验证成膜保留、反应和淋洗风险,supported_but_not_unique,ambiguous_multiple_defensible,gold_broad_but_not_unique,P1,gold_uniqueness_or_validity_failure,3,A;B;D,0,0,E02;E05;E12;E15,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM;EXT-COFFEE-RING,高水溶性不能代表气敏膜适用，A、B、C、D 均是直接理由；C 最综合但并非唯一正确，选项层级重叠。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-068,general_chemistry,H2S 测试方案中，为什么不能只依赖普通室内通风？,D,考虑硫化氢毒性和局部积聚风险,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_high_level_best,P2,minor_option_set_caveat,0,,2,0,E10;E12,EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO;EXT-NIST-RSM,H2S 的急性毒性、可燃性及局部积聚风险使普通通风不足；C 的低点积聚和 A 的固定监测是具体风险控制依据，不应标为机理迁移错误。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-069,general_chemistry,用 MFC 配 10 ppm 目标气时，最应记录哪组参数？,A,记录母气浓度、稀释流量和总流量,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_core_metadata_correct,P2,minor_option_set_caveat,0,,3,0,E04;E11,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ISO-GAS-PURITY,母气浓度、各路流量和总流量是浓度守恒核心；实际可追溯配气还需 MFC 校准、温压、气瓶证书、吸附/泄漏和湿度记录。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-070,general_chemistry,XPS 显示催化金属价态测试后发生变化。最稳妥的结论是？,B,价态参与反应或老化仍需继续验证,supported_but_not_unique,ambiguous_multiple_defensible,gold_is_cautious_statement,P1,gold_uniqueness_or_validity_failure,2,A;C,1,0,E07;E12;E19,EXT-OVAC-HT;EXT-SNO2-XPS-2026;EXT-SNO2-VACANCY;EXT-XPS-CHARGE;EXT-NIST-RSM,B 的谨慎结论成立，但 A“作为参与线索”和 C“循环验证可逆性”同样正确且层级互补；题目更适合多选或询问最稳妥表述。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-071,general_chemistry,目标气与乙醇共存时响应不等于两者单独响应相加。最合理解释是？,C,竞争吸附或表面反应耦合破坏加和,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_plausible_primary_hypothesis,P2,minor_option_set_caveat,0,,2,0,E04;E05;E11;E12,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-ISO-GAS-PURITY;EXT-NIST-RSM,竞争吸附/反应耦合能解释非加和，但混气配制、预吸附占位、流量与湿度也应先排查；B 实际是 C 的一种具体形式，不应作为数据陷阱。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-073,analytical_chemistry,估算气敏器件 LOD 时，最基本需要什么？,D,用空白噪声和低浓度校准斜率,supported_unique_best,valid,gold_unique_best,P3,clean_option_set,0,,3,0,E12;E22,EXT-NIST-RSM;EXT-LOD,LOD 的基本估计需空白噪声与低浓度校准斜率，D 明显最完整。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-074,analytical_chemistry,显色纸带用反射率读数时，不同基膜初始颜色差异明显。最合理做法是？,A,做基线归一化再比较反射率变化,supported_but_not_unique,ambiguous_multiple_defensible,gold_useful_but_not_sufficient,P1,gold_uniqueness_or_validity_failure,1,C,2,0,E11;E13;E15;E22,EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-NIST-RSM;EXT-COFFEE-RING;EXT-LOD,基线归一化可减少初始颜色差，但不同基膜可能具有不同散射、动态范围和阈值；A 与 C 可同时需要，不能仅靠归一化保证可比。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-075,analytical_chemistry,XRD 未出现掺杂金属峰。最稳妥结论是？,B,可能低于 XRD 检出限或高度分散,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_cautious_best,P2,minor_option_set_caveat,0,,1,0,E19;E22,EXT-SNO2-XPS-2026;EXT-XPS-CHARGE;EXT-LOD,XRD 未见掺杂相可由低含量、高分散、无定形或固溶造成，B 是稳妥结论；D 是必要后续，不应标为数据陷阱。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-076,analytical_chemistry,SEM-EDS 显示催化金属分布均匀。仍不能证明什么？,C,EDS 均匀不能证明原子级分散,supported_unique_best,valid,gold_unique_best,P3,clean_option_set,0,,0,0,E19,EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,SEM-EDS 的空间分辨与相互作用体积无法证明原子级分散，C 明确命中证据边界。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-077,analytical_chemistry,验证甲苯传感器选择性时，哪种参考分析更合适？,D,用 GC-MS 验证甲苯气相浓度变化,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_preferred_reference_method,P2,minor_option_set_caveat,0,,3,0,E05;E12;E19;E20,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE;EXT-PANI-VIRJI,GC-MS 能较特异地验证甲苯浓度，Gold 可辩护；定量时 GC-FID 也常适用，吸附管采样与穿透核查并非机理迁移错误。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-078,analytical_chemistry,气敏测试后样品暴露空气 24 h 再做 XPS。解释表面吸附物时最应注意什么？,A,空气暴露可能改写表面吸附物组成,supported_unique_best,valid,gold_unique_best,P3,clean_option_set,0,,3,0,E05;E12;E19;E22,EXT-MOS-CONDUCTANCE;EXT-ZNO-NANOWIRE;EXT-NIST-RSM;EXT-SNO2-XPS-2026;EXT-XPS-CHARGE;EXT-LOD,测试后空气暴露 24 h 会改变吸附物与氧化/水合状态，A 是解释 XPS 前必须声明的关键限制。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-079,analytical_chemistry,Raman 测硫化物敏感层时激光功率过高，最可能带来什么问题？,B,高功率可能造成局部加热或相变,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_primary_risk,P2,minor_option_set_caveat,0,,0,0,E19,EXT-SNO2-XPS-2026;EXT-XPS-CHARGE,高激光功率导致局部加热、相变或氧化是主要风险；D 可能是 B 的具体后果，选项存在因果层级重叠但 Gold 仍可接受。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-080,analytical_chemistry,某材料对 1 ppm NO2 响应明显。为了声称选择性，最少还需要什么？,C,建立相关干扰气体响应矩阵,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_umbrella_best,P2,minor_option_set_caveat,0,,3,0,E02;E11;E12,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-NIST-RSM,相关干扰矩阵是选择性声明所需的综合框架；相近氧化性气、还原气、湿度和多器件重复都应成为矩阵组成，不应被贬为数据陷阱。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-083,technical_chemistry,将浸渍工艺换成旋涂后，膜更均匀但响应变慢。最可能原因是？,D,旋涂改变负载量或孔结构限制传质,supported_best_with_major_caveat,valid_with_major_caveat,gold_hypothesis_not_directly_established,P1,major_option_set_caveat,1,A,2,0,E04;E15;E21;E22,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-COFFEE-RING;EXT-NIST-RSM;EXT-LOD,旋涂后变慢可能来自膜厚、负载、孔结构、溶剂残留或测试差异；D 是综合候选，但 A 才是直接测量验证，二者不应被设为互斥。,retain_frozen_record_audit_only,future_release_clarify_conditions_or_source,high,专家 X
SGS-084,technical_chemistry,丝网印刷气敏浆料边缘堆积严重。最先优化什么？,A,优化浆料流变、刮刀和网版参数,supported_but_not_unique,ambiguous_multiple_defensible,gold_overly_broad,P1,gold_uniqueness_or_validity_failure,2,B;D,1,0,E15;E21,EXT-COFFEE-RING;EXT-NIST-RSM;EXT-NIST-GAS,边缘堆积可由浆料流变、网版/刮刀、溶剂挥发、固含与干燥迁移共同引起；A 把多类变量捆绑，B/D 也是首轮变量，Gold 唯一性弱。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-085,technical_chemistry,煅烧后敏感膜开裂。若前驱体含有机粘结剂，首要排查是？,B,排查升温速率过快和排胶不足,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_plausible_best,P2,minor_option_set_caveat,0,,2,0,E20;E21,EXT-PANI-VIRJI;EXT-NIST-RSM;EXT-NIST-GAS,含有机粘结剂时升温过快与排胶不足是高优先级开裂原因；保温和冷却速率仍是合理后续，C 不属于安全错误。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-086,technical_chemistry,MFC 自动配气系统用于 H2S/空气测试，最不能缺少的是？,C,配置尾气处理、报警和联锁停机,supported_unique_best,valid,gold_unique_safety_gate,P3,clean_option_set,0,,2,0,E04;E10,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-NIOSH-H2S;EXT-NIOSH-CL2;EXT-NIOSH-PH3;EXT-NIOSH-NANO,H2S/空气自动配气的尾气处理、报警与联锁停机是不可缺少的工程控制，C 明确优先。,retain_frozen_record_audit_only,retain,high,专家 X
SGS-087,technical_chemistry,连续浸渍纸带时前后段颜色逐渐变浅。最可能的工艺原因是？,D,槽液消耗或挥发导致浓度逐段变化,supported_but_not_unique,ambiguous_multiple_defensible,gold_plausible_not_unique,P1,gold_uniqueness_or_validity_failure,1,A,1,0,E09;E11;E13;E15;E21,EXT-NIST-RSM;EXT-NIST-GAS;EXT-ISO-GAS-PURITY;EXT-COFFEE-RING,连续浸渍前后段变浅可由槽液消耗/挥发、基膜吸液差、传送速度或槽内混合造成；D 是常见原因，但 A 也直接可辩护。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
SGS-088,technical_chemistry,气敏样品横评中，哪类元数据缺失最会影响复现？,A,缺少制备批次、配气湿度和测试条件,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_highest_priority,P2,minor_option_set_caveat,0,,0,0,E02;E21,EXT-MOS2-HUMIDITY;EXT-GRAPHENE-SUBSTRATE;EXT-NIST-RSM;EXT-NIST-GAS,制备批次和配气/湿度/测试条件对复现影响最大，A 合理；命名、数据版本、电极批次和脚本同样是完整可追溯链的一部分。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-089,technical_chemistry,小试管式炉煅烧成功，放大到连续炉后性能波动。最先核对什么？,B,核对实际温度场和样品停留时间,supported_best_with_minor_caveat,valid_with_minor_caveat,gold_plausible_primary_check,P2,minor_option_set_caveat,0,,3,0,E04;E09;E21,EXT-NIST-GAS;EXT-MOS-CONDUCTANCE;EXT-NIST-RSM,实际温度场和停留时间是连续炉放大的核心变量；装料密度、气氛流量和前驱体批次必须同步核对，C/D 不应被视为次要陷阱。,retain_frozen_record_audit_only,retain_with_documented_caveat,high,专家 X
SGS-090,technical_chemistry,纸带干燥后边缘颜色更深。下一步最合理的是？,C,检查干燥流场和溶质迁移效应,supported_but_not_unique,ambiguous_multiple_defensible,gold_diagnosis_and_option_A_test_overlap,P1,gold_uniqueness_or_validity_failure,2,A;D,0,0,E15,EXT-COFFEE-RING,检查干燥流场和溶质迁移是合理机制判断，调整温度/风速观察边缘富集则是直接验证；C 与 A 属于假设—测试组合，单选层级混合。,retain_frozen_record_audit_only,future_release_rewrite_for_single_best_answer,high,专家 X
