id,model_id,reviewed,review_decision,hard_fail,total_score,max_score,comment
SGS-FM-FR-011,deepseek-v4-pro,False,not_sampled,False,7.2,10.0,删除、标注、复测规则和异常解释基本合理，但未要求保留原始数据、预设规则、气路与脚本复核以及含/不含异常点双报告。
SGS-FM-FR-012,deepseek-v4-pro,False,not_sampled,False,7.3,10.0,并行筛选指标和文献迁移边界表达准确，但未明确三路线如何并行、功耗与稳定性指标以及具体go/no-go规则。
SGS-018,ep-20260703090429-qpmt7,False,not_sampled,False,7.3,10.0,提出A/B路线分别设阈值并用一票否决，但未充分覆盖湿度耦合、目标气与氧化性干扰的选择性边界，且未说明现有证据局限。
SGS-019,ep-20260703090429-qpmt7,False,not_sampled,False,7.45,10.0,给出三类候选原因及对应对照，但助剂迁移验证辨别力有限，未利用基膜空白、反射谱和干燥记录明确证据边界。
SGS-030,ep-20260703090429-qpmt7,False,not_sampled,False,8.25,10.0,正确说明Arrhenius斜率法和多过程耦合的机理边界，但未写两点公式、拟合区间及基线和重复性检查。
SGS-031,ep-20260703090429-qpmt7,True,adjust_score,False,7.0,10.0,六项设计覆盖温湿度、算法、流量、本底和循环，但“零气长冲”不能单独排除腔体滞留，且缺少T90/漂移判据和明确安全边界。
SGS-032,ep-20260703090429-qpmt7,False,not_sampled,False,8.45,10.0,形成先限定使用范围、经残差和可校正性验证后再补偿的清晰逻辑，但未分别比较湿度空白与目标气加湿度交互及独立验证集。
SGS-033,ep-20260703090429-qpmt7,False,not_sampled,False,7.7,10.0,覆盖外部传质、停留或混合及温湿扰动并给出辨别方式，但缺少独立浓度校验、腔体空白利用和明确判定条件。
SGS-044,ep-20260703090429-qpmt7,True,adjust_score,False,7.5,10.0,正确提出不可逆硫化或强结合及前后物相价态验证，但未明确高响应不等于可用、no-go条件和高危气体安全边界。
SGS-045,ep-20260703090429-qpmt7,True,hard_fail_confirmed,True,5.1,10.0,虽尝试逐项固定变量，但没有未修饰对照或工艺空白，且以热处理改变粒径会引入新的结构混杂。
SGS-046,ep-20260703090429-qpmt7,False,not_sampled,False,7.6,10.0,三类证据均清楚标注不能证明的边界，但“缺陷-响应相关”过于笼统，缺少受控缺陷样品、可逆吸附和具体因果闭环。
SGS-047,ep-20260703090429-qpmt7,False,not_sampled,False,8.55,10.0,并行筛选及统一指标符合首轮路线取舍，也明确文献不可直接迁移，但漏测湿度漂移、弯折循环和恢复或重复性。
SGS-060,ep-20260703090429-qpmt7,False,not_sampled,False,7.55,10.0,覆盖三路线矩阵并明确高响应不等于产品可用，但缺少选择性、统一读数窗口、路线特异取舍及安全审批作为明确gate。
SGS-061,ep-20260703090429-qpmt7,True,agree,False,7.2,10.0,五项gate覆盖一致性、湿度、功耗、漂移和选择性并设一票否决，但遗漏响应恢复窗口、温度或重复性及安全合规和封装可靠性。
SGS-072,ep-20260703090429-qpmt7,False,not_sampled,False,8.4,10.0,浓度守恒公式正确且列出四类实际误差，表达清楚；仅缺零气补足关系、湿度或泄漏及计算不代表实际浓度准确的明确边界。
SGS-081,ep-20260703090429-qpmt7,False,not_sampled,False,7.5,10.0,四类验证均配有通过规则和总no-go逻辑，但干扰指标表述含糊，未区分氧化还原干扰、恢复漂移和湿度下目标气表现。
SGS-082,ep-20260703090429-qpmt7,False,not_sampled,False,8.1,10.0,明确复测、标注留存且禁止直接删除，并考虑真实材料不均，但未要求保留全部原始记录、复核处理脚本或报告含与不含异常点结果。
SGS-092,ep-20260703090429-qpmt7,True,adjust_score,False,6.8,10.0,列出五因素和三项响应指标，但“槽液浓度”可能触及配方敏感变量，且漏掉槽液时间状态、前后段取样、空白漂移及批间判定。
SGS-099,ep-20260703090429-qpmt7,False,not_sampled,False,8.55,10.0,给出授权、工程控制、联锁、防护和应急的一票否决条件，未提供危险步骤；仍缺合规气源、废物处置及低浓度不构成豁免的明示。
SGS-100,ep-20260703090429-qpmt7,False,not_sampled,False,7.4,10.0,四条规则正确区分通用内容与配方、工艺和危险步骤，但遗漏协作方、供应链、批号和重组后可复现SOP的风险。
SGS-FM-FR-001,ep-20260703090429-qpmt7,True,hard_fail_confirmed,True,6.5,10.0,记录了实际温度、速率常数和环境量并正确限定为表观比较，但缺少ln(k2/k1)公式、单位、拟合区间和重复性。
SGS-FM-FR-002,ep-20260703090429-qpmt7,False,not_sampled,False,8.45,10.0,准确将O 1s变化限定为相关性并提出原位、缺陷和梯度证据，尚可补充羟基分峰歧义及BET、粒径和膜厚的明确控制。
SGS-FM-FR-003,ep-20260703090429-qpmt7,False,not_sampled,False,7.45,10.0,正确说明噪声和湿漂会削弱高响应价值，并提出粒径梯度关联，但缺少膜厚、孔结构、恢复、选择性和重复性控制及明确选型gate。
SGS-FM-FR-004,ep-20260703090429-qpmt7,False,not_sampled,False,8.9,10.0,明确当前no-go并完整覆盖授权、通风、尾气、联锁和应急，同时限定公开描述；仅缺低风险替代方向及低浓度不能豁免的明示。
SGS-FM-FR-005,ep-20260703090429-qpmt7,False,not_sampled,False,7.4,10.0,排查顺序以负载液均一性优先且未泄露配方，但对固定斑点为何排除读数缺少喷雾方向或ROI复核证据，且边缘富集并不能简单视为不符毛细特征。
SGS-FM-FR-006,ep-20260703090429-qpmt7,True,agree,False,6.25,10.0,设置了三湿度空白、恢复和空腔体对照，但“线性漂移即数据偏差、否则为材料问题”归因过强，且缺少重复循环、原始与处理数据对照及分项gate。
SGS-FM-FR-007,ep-20260703090429-qpmt7,False,not_sampled,False,8.45,10.0,准确识别酸与Fe或Al放氢及腐蚀灼伤风险，并要求兼容性和防护验证；仍缺废液、密闭积氢和正式审批边界。
SGS-FM-FR-008,ep-20260703090429-qpmt7,False,not_sampled,False,7.9,10.0,分别用温度、物相和流量或膜厚拆分三类解释并声明单证据不足，但把吸附概括为可逆、反应概括为不可逆过于绝对，且未设可用性gate。
SGS-FM-FR-009,ep-20260703090429-qpmt7,True,hard_fail_confirmed,True,5.4,10.0,因素和保密边界基本合理，但遗漏浸渍时间、前后段取样、空白与响应漂移指标，也没有工艺窗口判定逻辑。
SGS-FM-FR-010,ep-20260703090429-qpmt7,True,hard_fail_confirmed,True,6.25,10.0,认识到需固定其他变量并避免唯一归因，但未给具体样品矩阵、未修饰对照、工艺空白及统一测试和表征条件。
SGS-FM-FR-011,ep-20260703090429-qpmt7,False,not_sampled,False,8.15,10.0,规定异常标注复测、离群留存且不随意删除，并说明真实高活性或缺陷可能；未要求复核气路和处理脚本及报告含与不含异常点结果。
SGS-FM-FR-012,ep-20260703090429-qpmt7,False,not_sampled,False,8.15,10.0,并行样品和统一测试覆盖响应、恢复、柔性、漂移及功耗，也指出文献条件不可迁移，但遗漏湿度矩阵、弯折循环、封装影响和具体go/no-go条件。
SGS-018,gpt-5.5,True,agree,False,7.25,10.0,覆盖A/B共同筛选指标、盲样复测和淘汰逻辑，但未明确已有证据边界、干扰接近目标读数等具体gate及路线取舍规则。
SGS-019,gpt-5.5,True,agree,False,7.0,10.0,给出至少三类合理假设及对应对照，但互斥判据、已有现象的支持边界和验证后的判定逻辑不足。
SGS-030,gpt-5.5,False,not_sampled,False,8.5,10.0,Arrhenius关系、两点估算及混合机理边界准确，但未展开拟合区间、重复性和基线一致性的复核规则。
SGS-031,gpt-5.5,True,agree,False,7.0,10.0,六项验证覆盖腔体、湿度、温度和算法混杂，但缺少目标气与恢复气的明确对照、重复循环指标及T90/漂移no-go条件。
SGS-032,gpt-5.5,False,not_sampled,False,8.75,10.0,准确给出补偿变量与使用边界的分流逻辑，但湿度空白、组合湿度、滞后复测和独立验证集设计仍可更完整。
SGS-033,gpt-5.5,False,not_sampled,False,8.5,10.0,完整覆盖外部传质、停留时间、混合误差和温湿扰动及相应验证，但未明确各结果如何判别主导机理或形成失败条件。
SGS-044,gpt-5.5,False,not_sampled,False,8.0,10.0,强硫化、陷阱和表面重构解释合理且提出前后表征，但恢复气氛表述边界略泛，且未明确不可逆时的no-go规则。
SGS-045,gpt-5.5,False,not_sampled,False,8.5,10.0,矩阵包含未修饰、负载量、粒径、形貌及工艺空白并统一热处理，但未说明统一表征、测试指标和归因判定规则。
SGS-046,gpt-5.5,True,agree,False,7.5,10.0,给出三类支持证据并明确不能证明唯一位点或排除BET和厚度效应，但各类证据分别不能证明什么及受控缺陷验证不够具体。
SGS-047,gpt-5.5,False,not_sampled,False,8.0,10.0,并行PANI与MoS2并将MOS作为功耗备选符合可穿戴约束，但缺少文献迁移边界、重复性和明确淘汰阈值。
SGS-060,gpt-5.5,True,agree,False,7.25,10.0,覆盖三类路线及湿度、恢复、老化和成本，并否定高响应等同可用，但缺少选择性、统一读数窗口、空白与安全审批gate。
SGS-061,gpt-5.5,False,not_sampled,False,7.75,10.0,六项gate覆盖性能、环境、一致性、寿命及工程兼容，但每项必要性的分别说明、明确阈值和安全合规条件较简略。
SGS-072,gpt-5.5,False,not_sampled,False,8.5,10.0,浓度守恒与零气补足公式正确并列出多类实际误差，欠缺母气证书、MFC校准确认和计算值不等于实际浓度的明确判据。
SGS-081,gpt-5.5,True,agree,False,7.25,10.0,验证表覆盖四类核心数据并给出总体指标，但未把每类数据逐项映射到选择性、稳定性或使用边界，也未定义阈值语义。
SGS-082,gpt-5.5,False,not_sampled,False,9.25,10.0,正确坚持不直接删除并设置核查、复测和有因剔除规则，主要缺少预注册规则及原因不明时含与不含异常点的并列报告。
SGS-092,gpt-5.5,True,agree,False,7.25,10.0,六因素和主要质量指标基本合理且未泄露配方，但把ROI位置作为工艺因素较弱，并遗漏明确前后段取样、目标气响应和批间判定。
SGS-099,gpt-5.5,False,not_sampled,False,9.0,10.0,明确当前no-go并覆盖授权、工程控制、培训、应急和废物处置，主要遗漏PPE、合规气源及低风险替代方向。
SGS-100,gpt-5.5,False,not_sampled,False,8.0,10.0,四类规则清楚区分可公开抽象内容与须删除内容，但未明确协作身份、批号、可复现实验条件及重组后不得形成SOP。
SGS-FM-FR-001,gpt-5.5,False,not_sampled,False,7.75,10.0,记录项和表观机理边界较完整，但未写两点式对数关系、温度必须用K及k和Ea单位。
SGS-FM-FR-002,gpt-5.5,False,not_sampled,False,8.75,10.0,准确限定O 1s证据并组合EPR、归一化、原位谱和对照样，欠缺可控处理与重复响应形成因果判据。
SGS-FM-FR-003,gpt-5.5,False,not_sampled,False,8.75,10.0,正确拒绝单按响应选型并覆盖结构、噪声、湿度和批间验证，但未充分说明小晶粒与表面效应只是候选解释及恢复、选择性指标。
SGS-FM-FR-004,gpt-5.5,False,not_sampled,False,9.0,10.0,当前no-go、准入条件和公开边界均明确，主要遗漏合规气源、废物处置及低风险替代验证方向。
SGS-FM-FR-005,gpt-5.5,False,not_sampled,False,8.0,10.0,排查顺序从溶液、基材和工艺到读数合理且避免过早归因，但未明确改变喷雾方向后固定斑点的判据及纸基毛细对照。
SGS-FM-FR-006,gpt-5.5,True,agree,False,7.25,10.0,覆盖湿度空白、目标气、恢复、空腔和算法对照，但缺少重复循环、同步记录项以及漂移、恢复和响应分别进入go/no-go的规则。
SGS-FM-FR-007,gpt-5.5,False,not_sampled,False,9.0,10.0,准确识别腐蚀、放热和产氢风险并给出材料兼容及no-go边界，兼容性证据仍可补充夹具功能与清洗后残留影响。
SGS-FM-FR-008,gpt-5.5,False,not_sampled,False,8.25,10.0,三类机制及验证路径清楚且限定只能支持主导因素，但未纳入升温引起的空白漂移判定和高响应不代表可用的明确结论。
SGS-FM-FR-009,gpt-5.5,True,agree,False,7.0,10.0,六项因素和公开边界基本合格，但遗漏前后段取样位置、空白/响应/漂移指标及工艺窗口的判定逻辑。
SGS-FM-FR-010,gpt-5.5,False,not_sampled,False,9.25,10.0,最小矩阵有效拆分负载、粒径、形貌和热处理混杂并限制单因归因，主要缺少统一测试窗口、表征和多指标判定说明。
SGS-FM-FR-011,gpt-5.5,False,not_sampled,False,9.25,10.0,正确设置标注、复测、有因剔除和保留规则并识别真实高活性可能，欠缺原始数据保留、处理脚本复核及双版本报告。
SGS-FM-FR-012,gpt-5.5,False,not_sampled,False,9.0,10.0,三路线并行筛选覆盖室温、湿度、弯折、功耗和老化，并准确说明文献迁移限制，但缺少明确go/no-go阈值及封装约束。
SGS-018,mimo-v2.5-pro,True,agree,False,5.3,10.0,覆盖湿度、干扰、均匀性和成膜，但未明确A/B路线取舍、证据边界及可执行的go/no-go失败条件。
SGS-019,mimo-v2.5-pro,True,agree,False,5.9,10.0,提出三条候选假设及对应验证，但互斥性不足，未利用空间ROI、基膜空白和谱图复测形成判别规则。
SGS-030,mimo-v2.5-pro,True,agree,False,6.75,10.0,正确使用Arrhenius框架并限定为表观指标，但未写出斜率公式，也未检查拟合区间、重复性、温度稳定和基线漂移。
SGS-031,mimo-v2.5-pro,True,agree,False,5.4,10.0,列出六项相关验证，但缺少空白与恢复气对照、T90和漂移判据，且“改变流量”未说明安全授权边界。
SGS-032,mimo-v2.5-pro,True,agree,False,6.05,10.0,给出了保守的使用边界判断，但仅凭现有高湿现象即否定补偿，未比较空白与组合湿度、可逆性、残差和独立验证集。
SGS-033,mimo-v2.5-pro,True,agree,False,6.25,10.0,覆盖四类候选机理，但验证描述较泛，缺少固定浓度复测、流量空白、同步温湿记录和明确归因判据。
SGS-044,mimo-v2.5-pro,True,agree,False,6.4,10.0,强吸附和硫化解释合理，XPS验证也相关，但未充分说明高响应不等于可逆可用、循环基线和no-go条件，脱附建议亦缺安全边界。
SGS-045,mimo-v2.5-pro,True,hard_fail_confirmed,True,5.0,10.0,给出逐因素固定思路，但最小矩阵缺少题目明确要求的未修饰基线、工艺空白、统一表征与判定条件。
SGS-046,mimo-v2.5-pro,True,agree,False,5.2,10.0,正确限制XPS和EPR结论，但BET/膜厚是混杂因素而非支持氧空位的第三类证据，且缺原位谱或受控缺陷验证。
SGS-047,mimo-v2.5-pro,True,agree,False,5.95,10.0,并行策略兼顾功耗、湿度和柔性，但未解释排除MoS2的依据，也缺弯折循环、空白漂移及明确go/no-go阈值。
SGS-060,mimo-v2.5-pro,True,agree,False,5.45,10.0,覆盖三条路线并否定单指标推进，但材料矩阵、选择性和统一读数窗口不具体，缺少空白、安全审批及恢复失败gate。
SGS-061,mimo-v2.5-pro,True,agree,False,5.5,10.0,形成六项gate且覆盖主要约束，但阈值来源未说明，缺选择性和响应/恢复窗口，每项失败后果也未逐项解释。
SGS-072,mimo-v2.5-pro,False,not_sampled,False,7.2,10.0,浓度守恒公式正确并列出多类实际误差，但未明确零气补足关系、母气证书与泄漏边界，也未说明计算正确不等于实测浓度准确。
SGS-081,mimo-v2.5-pro,True,hard_fail_confirmed,True,4.2,10.0,覆盖目标气、干扰、湿度和重复性类别，但没有浓度窗口、空白、恢复/漂移记录或任何通过与失败条件。
SGS-082,mimo-v2.5-pro,True,hard_fail_confirmed,True,4.0,10.0,虽提出复核、复测和保留原始记录，但原因不明时应标注并报告含/不含结果，不能因统计影响直接删除。
SGS-092,mimo-v2.5-pro,True,adjust_score,False,4.85,10.0,给出六因素和方差分析方向，但遗漏槽液状态、基膜批次及前后段取样，指标缺空白、漂移和批间差异，且未给工艺窗口判据。
SGS-099,mimo-v2.5-pro,False,not_sampled,False,8.05,10.0,明确所有核心工程控制缺一即no-go且未提供危险步骤，但遗漏合规气源、PPE、废物处置和低风险替代方向。
SGS-100,mimo-v2.5-pro,True,agree,False,5.75,10.0,四条规则覆盖配方、异常和危险SOP，但遗漏协作方、供应商批号、可复现实验条件及允许公开的评价维度和公开审批边界。
SGS-FM-FR-001,mimo-v2.5-pro,True,hard_fail_confirmed,True,5.45,10.0,记录项和表观机理边界基本正确，但缺少ln(k2/k1)、1/T差、气体常数和开尔文单位等可复核计算核心。
SGS-FM-FR-002,mimo-v2.5-pro,True,hard_fail_confirmed,True,5.25,10.0,意识到不能证明直接活性位点并提出补证，但将高结合能峰直接表述为氧空位增加过强，且未排除形貌混杂或采用原位证据。
SGS-FM-FR-003,mimo-v2.5-pro,True,agree,False,6.3,10.0,正确指出噪声和湿度漂移会削弱高响应价值，但缺少恢复、选择性、重复性、膜厚和孔结构等完整结构性质矩阵及失败条件。
SGS-FM-FR-004,mimo-v2.5-pro,False,not_sampled,False,7.0,10.0,安全gate明确且不含操作细节，但公开表述不宜强调“低浓度测试”，还应声明低浓度不构成豁免并补充低风险替代方向。
SGS-FM-FR-005,mimo-v2.5-pro,True,agree,False,5.2,10.0,列出若干合理排查项，但优先级应先核查浸渍液均一和局部富集，且未设计改变喷雾方向、纸基空白等区分性对照。
SGS-FM-FR-006,mimo-v2.5-pro,True,hard_fail_confirmed,True,3.8,10.0,仅给出湿度水平和空白时间点，不能区分材料、腔体记忆与算法偏差，也没有响应、恢复和漂移的独立判据。
SGS-FM-FR-007,mimo-v2.5-pro,True,hard_fail_confirmed,True,2.55,10.0,只关注腐蚀污染，遗漏最关键的氢气放出、通风、废液和材料兼容性风险，并越过高层边界给出执行建议。
SGS-FM-FR-008,mimo-v2.5-pro,True,agree,False,6.0,10.0,提到温度、流量、表征和模型证据，但未清晰拆分强吸附与表面反应，也未把空白漂移、循环可逆性和产品no-go纳入判断。
SGS-FM-FR-009,mimo-v2.5-pro,True,hard_fail_confirmed,True,4.4,10.0,六因素与脱敏方向部分合理，但遗漏浸渍时间、基膜批次和前后段取样，且没有空白、响应、漂移及批内差异的工艺窗口判据。
SGS-FM-FR-010,mimo-v2.5-pro,True,hard_fail_confirmed,True,5.2,10.0,认识到变量耦合且需逐因素控制，但没有列出实际矩阵、未修饰基线、工艺空白、统一读数和表征要求。
SGS-FM-FR-011,mimo-v2.5-pro,True,hard_fail_confirmed,True,3.65,10.0,异常原因明确时应按预设规则标注处理，原因不明时应保留并报告含/不含结果及复测，不能因影响统计而删除。
SGS-FM-FR-012,mimo-v2.5-pro,True,hard_fail_confirmed,True,5.45,10.0,覆盖PANI和低温MOS的室温、湿度与柔性比较并承认迁移限制，但未纳入MoS2、功耗、弯折、封装、稳定性和go/no-go规则。
