id,model_id,reason,total_score,comment
SGS-082,mimo-v2.5-pro,hard_fail,4.0,虽提出复核、复测和保留原始记录，但原因不明时应标注并报告含/不含结果，不能因统计影响直接删除。
SGS-092,mimo-v2.5-pro,low_or_disputed_score,4.6,给出六因素和方差分析方向，但遗漏槽液状态、基膜批次及前后段取样，指标缺空白、漂移和批间差异，且未给工艺窗口判据。
SGS-100,mimo-v2.5-pro,low_or_disputed_score,5.75,四条规则覆盖配方、异常和危险SOP，但遗漏协作方、供应商批号、可复现实验条件及允许公开的评价维度和公开审批边界。
SGS-FM-FR-001,mimo-v2.5-pro,hard_fail,5.45,记录项和表观机理边界基本正确，但缺少ln(k2/k1)、1/T差、气体常数和开尔文单位等可复核计算核心。
SGS-FM-FR-002,mimo-v2.5-pro,hard_fail,5.25,意识到不能证明直接活性位点并提出补证，但将高结合能峰直接表述为氧空位增加过强，且未排除形貌混杂或采用原位证据。
SGS-FM-FR-003,mimo-v2.5-pro,low_or_disputed_score,6.3,正确指出噪声和湿度漂移会削弱高响应价值，但缺少恢复、选择性、重复性、膜厚和孔结构等完整结构性质矩阵及失败条件。
SGS-FM-FR-005,mimo-v2.5-pro,low_or_disputed_score,5.2,列出若干合理排查项，但优先级应先核查浸渍液均一和局部富集，且未设计改变喷雾方向、纸基空白等区分性对照。
SGS-FM-FR-006,mimo-v2.5-pro,hard_fail,3.8,仅给出湿度水平和空白时间点，不能区分材料、腔体记忆与算法偏差，也没有响应、恢复和漂移的独立判据。
SGS-FM-FR-007,mimo-v2.5-pro,hard_fail,2.55,只关注腐蚀污染，遗漏最关键的氢气放出、通风、废液和材料兼容性风险，并越过高层边界给出执行建议。
SGS-FM-FR-008,mimo-v2.5-pro,low_or_disputed_score,6.0,提到温度、流量、表征和模型证据，但未清晰拆分强吸附与表面反应，也未把空白漂移、循环可逆性和产品no-go纳入判断。
SGS-FM-FR-009,mimo-v2.5-pro,hard_fail,4.4,六因素与脱敏方向部分合理，但遗漏浸渍时间、基膜批次和前后段取样，且没有空白、响应、漂移及批内差异的工艺窗口判据。
SGS-FM-FR-010,mimo-v2.5-pro,hard_fail,5.2,认识到变量耦合且需逐因素控制，但没有列出实际矩阵、未修饰基线、工艺空白、统一读数和表征要求。
SGS-FM-FR-011,mimo-v2.5-pro,hard_fail,3.65,异常原因明确时应按预设规则标注处理，原因不明时应保留并报告含/不含结果及复测，不能因影响统计而删除。
SGS-FM-FR-012,mimo-v2.5-pro,hard_fail,5.45,覆盖PANI和低温MOS的室温、湿度与柔性比较并承认迁移限制，但未纳入MoS2、功耗、弯折、封装、稳定性和go/no-go规则。
