source_id,source_type,quality,title,year,url,supports,limitations
EXT-XPS-CHARGE,primary_method,strong_methodological,XPS on Li-battery-related compounds: analysis of inorganic phases and methodology for charge correction,2018,https://arxiv.org/abs/1809.06412,Absolute binding-energy assignments can be distorted by charging and overlapping phases; additional constraints improve identification.,"Battery materials differ from gas-sensor oxides, but the XPS methodology boundary is transferable."
EXT-PANI-VIRJI,primary_research,strong_primary,Polyaniline Nanofiber Gas Sensors: Examination of Response Mechanisms,2004,https://doi.org/10.1021/nl035122e,PANI gas sensing involves changes in polymer doping/protonation and conductivity; morphology and diffusion affect response.,A specific film formulation and environment may behave differently.
EXT-PANI-INKJET,primary_research,strong_primary,Fabrication of an ammonia gas sensor using inkjet-printed polyaniline nanoparticles,2008,https://doi.org/10.1016/j.talanta.2008.07.023,"Printed PANI can provide room-temperature ammonia sensing, supporting route feasibility.",Does not establish PANI as universally preferable to MOS or MoS2 in wearables.
EXT-MOS-CONDUCTANCE,primary_method,strong_primary,Conductance Model for Single-Crystalline/Compact Metal Oxide Gas Sensing Layers: SnO2(101),2020,https://arxiv.org/abs/2010.02962,SMOX conductance depends on surface electrostatic potential; n/p carrier type and morphology matter.,Compact epitaxial layers differ from porous polycrystalline films.
EXT-ZNO-NANOWIRE,primary_research,strong_primary,Electrical transport and gas sensing in ZnO nanowire networks,2019,https://arxiv.org/abs/1904.04591,Network junctions and contacts can dominate resistance and gas response variability.,ZnO network results cannot be directly transferred to every nanowire material.
EXT-MOS2-HUMIDITY,primary_research_preprint,supportive_primary,Humidity effects on MoS2 gas-sensor response and recovery,2024,https://arxiv.org/abs/2411.01043,"Humidity can materially change response and recovery, supporting application-specific humidity validation.",Specific device architecture and analyte conditions limit generalization.
EXT-GRAPHENE-SUBSTRATE,primary_research,supportive_primary,Substrate-dependent ammonia sensing in graphene,2018,https://arxiv.org/abs/1803.10355,"Substrate and environment can change gas-sensing response, illustrating context-transfer risk.","Graphene is an analogy, not direct evidence for every composite route."
EXT-COFFEE-RING,primary_research,classic_primary,Capillary flow as the cause of ring stains from dried liquid drops,1997,https://doi.org/10.1038/39827,Pinned-edge evaporation can drive capillary transport and edge accumulation.,"Porous paper also involves infiltration, sorption, chemistry and forced-air drying."
EXT-SILVER-OPTICS,primary_research,supportive_primary,Influence of Morphology on the Optical Properties of Metal Nanoparticles,2006,https://arxiv.org/abs/physics/0609015,Silver nanoparticle optical response depends strongly on morphology and plasmon modes.,Does not prove that raising silver-nitrate loading will change a paper from brown to neutral gray.
EXT-SILVER-PHOTO,primary_research,supportive_primary,Controlling Silver Nanoparticle Size and Morphology with Photostimulated Synthesis,2005,https://arxiv.org/abs/physics/0511147,"Illumination, stabilizer and aggregation conditions can alter silver nanoparticle size and morphology.",Colloidal synthesis differs from silver-nitrate-impregnated paper.
EXT-LOD,peer_reviewed_method,strong_methodological,"Limit of Blank, Limit of Detection and Limit of Quantitation",2008,https://pmc.ncbi.nlm.nih.gov/articles/PMC2556583/,"Detection limits depend on blank behavior, variability and method response rather than highest signal alone.",The simple 3σ/slope formula is an approximation and method validation must consider errors and model assumptions.
EXT-CUO-H2S,primary_research_preprint,limited_support,Metal oxide decoration on Si-FETs for selective gas sensing at room temperature,2025,https://arxiv.org/abs/2505.10269,CuO-functionalized devices can show strong room-temperature H2S response and recovery.,Does not independently establish CuO→CuS conversion as the cause of slow recovery; direct phase evidence is still needed.
EXT-NIST-PRIVACY,official_framework,authoritative_normative,NIST Privacy Framework,,https://www.nist.gov/privacy-framework,Risk-based handling and governance of information disclosure.,Does not determine which proprietary formulation details this project must redact; that remains project/legal policy.
