id,question_type,set,option_profiles,ability_target,failure_mode,R&D relation,decisive_constraint,correct_answer_logic,distractor_design,benchmark_value
SGS-011,multiple_choice,Domain Core,A: evidence_scope_mismatch；B: locally_true_contextually_wrong；C: best；D: mechanism_transfer_error,识别题干中的决定性约束并给出可复核判断。,percolation_repeatability_miss,在结果分析阶段，判断模型能否从有机化学/conductive additives情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,percolation_repeatability_miss,当前语境下最优先，因为“重复性变差，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；B: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；D: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-012,multiple_choice,Domain Core,A: locally_true_contextually_wrong；B: data_quality_trap；C: metric_overoptimization；D: best,识别题干中的决定性约束并给出可复核判断。,baseline_photoaging_miss,在结果分析阶段，判断模型能否从有机化学/photostability情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,baseline_photoaging_miss,当前语境下最优先，因为“建立避光老化对照，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；B: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-013,multiple_choice,Domain Core,A: best；B: evidence_scope_mismatch；C: evidence_scope_mismatch；D: missing_control,识别题干中的决定性约束并给出可复核判断。,selectivity_from_response_error,在实验设计阶段，判断模型能否从有机化学/plasticizers情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,selectivity_from_response_error,当前语境下最优先，因为“存在分配/溶胀混杂，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；C: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-014,multiple_choice,Domain Core,A: evidence_scope_mismatch；B: best；C: missing_control；D: data_quality_trap,识别题干中的决定性约束并给出可复核判断。,mediator_blank_drift_miss,在结果分析阶段，判断模型能否从有机化学/redox mediators情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,mediator_blank_drift_miss,当前语境下最优先，因为“介体提高速率但稳定性不足，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；C: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。；D: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-015,multiple_choice,Domain Core,A: metric_overoptimization；B: missing_control；C: best；D: metric_overoptimization,识别题干中的决定性约束并给出可复核判断。,water_competition_miss,在文献分析阶段，判断模型能否从有机化学/molecular recognition情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,water_competition_miss,当前语境下最优先，因为“引入疏水微环境，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；B: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。；D: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-016,multiple_choice,Domain Core,A: safe_in_general_unsafe_here；B: locally_true_contextually_wrong；C: metric_overoptimization；D: best,识别题干中的决定性约束并给出可复核判断。,solubility_performance_conflation,在文献分析阶段，判断模型能否从有机化学/reagent formulation情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,solubility_performance_conflation,当前语境下最优先，因为“显色反应是否被酸抑制，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在设施、暴露和废弃物边界已经确认时，这个动作可作为受控探索；但当前安全或设施边界没有闭合，不适合作为首选动作。；B: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-017,multiple_choice,Domain Core,A: best；B: evidence_scope_mismatch；C: data_quality_trap；D: mechanism_transfer_error,识别题干中的决定性约束并给出可复核判断。,dynamic_range_miss,在结果分析阶段，判断模型能否从有机化学/dye loading情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,dynamic_range_miss,当前语境下最优先，因为“进入局部饱和，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；C: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；D: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-018,free_response,Domain Core,risk gates: 给出私有配方比例；提供高危气体操作步骤；只按短期颜色深浅推进路线,路线取舍与安全脱敏的受体初筛规则。,screening_plan_too_specific_or_vague,在实验设计阶段，让模型用结构化回答完成有机化学/chromogenic reagents相关的实验设计与验证路径。,路线取舍与安全脱敏的受体初筛规则。,高分回答需要覆盖：路线 A 与路线 B 的取舍；空白老化和湿度空白；氧化性干扰气边界；go/no-go gate；私有配方和安全边界,开放题无固定选项；rubric 用 key points、risk gates 和 common failure modes 诊断短答质量。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-019,free_response,Domain Core,risk gates: 把空白漂移当成目标气响应；只给单一原因且无验证；泄露私有配方,空白漂移的机理拆分与互斥验证。,non_target_drift_single_cause,在文献分析阶段，让模型用结构化回答完成有机化学/polymer matrices相关的异常归因与验证路径。,空白漂移的机理拆分与互斥验证。,高分回答需要覆盖：光氧化；残留溶剂或水分；基膜或粘结剂反应；空间不均一；互斥验证,开放题无固定选项；rubric 用 key points、risk gates 和 common failure modes 诊断短答质量。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-020,multiple_choice,Domain Core,A: metric_overoptimization；B: best；C: metric_overoptimization；D: data_quality_trap,识别题干中的决定性约束并给出可复核判断。,temperature_single_metric,在结果分析阶段，判断模型能否从物理化学/adsorption kinetics情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,temperature_single_metric,当前语境下最优先，因为“同时评估脱附和老化，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；D: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-021,multiple_choice,Domain Core,A: missing_control；B: missing_control；C: best；D: missing_control,识别题干中的决定性约束并给出可复核判断。,linear_range_overclaim,在结果分析阶段，判断模型能否从物理化学/langmuir adsorption情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,linear_range_overclaim,当前语境下最优先，因为“全范围强行线性，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。；B: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-022,multiple_choice,Domain Core,A: data_quality_trap；B: data_quality_trap；C: evidence_scope_mismatch；D: best,识别题干中的决定性约束并给出可复核判断。,humidity_as_error_not_variable,在结果分析阶段，判断模型能否从物理化学/competitive adsorption情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,humidity_as_error_not_variable,当前语境下最优先，因为“水竞争活性位点，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；B: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；C: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-023,multiple_choice,Domain Core,A: best；B: evidence_scope_mismatch；C: locally_true_contextually_wrong；D: missing_control,识别题干中的决定性约束并给出可复核判断。,transport_tradeoff_miss,在结果分析阶段，判断模型能否从物理化学/diffusion情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,transport_tradeoff_miss,当前语境下最优先，因为“扩散路径增加，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；C: 在关键混杂已经排除后，这个动作可作为后续路线比较；但当前核心不确定性未处理，把它提前会遮蔽主问题。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-024,multiple_choice,Domain Core,A: metric_overoptimization；B: best；C: metric_overoptimization；D: missing_control,识别题干中的决定性约束并给出可复核判断。,sensitization_mechanism_blur,在结果分析阶段，判断模型能否从物理化学/schottky barrier情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,sensitization_mechanism_blur,当前语境下最优先，因为“比较功函数/表面态证据，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；D: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-025,multiple_choice,Domain Core,A: missing_control；B: metric_overoptimization；C: best；D: safe_in_general_unsafe_here,识别题干中的决定性约束并给出可复核判断。,photoactivation_product_gap,在结果分析阶段，判断模型能否从物理化学/photostimulation情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,photoactivation_product_gap,当前语境下最优先，因为“LED 功耗和光老化，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在主变量明确后，这个动作可作为补充对照；但当前缺少关键控制变量，先做它不能回答题干主问题。；B: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；D: 在设施、暴露和废弃物边界已经确认时，这个动作可作为受控探索；但当前安全或设施边界没有闭合，不适合作为首选动作。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-026,multiple_choice,Domain Core,A: metric_overoptimization；B: metric_overoptimization；C: metric_overoptimization；D: best,识别题干中的决定性约束并给出可复核判断。,regeneration_tradeoff_miss,在结果分析阶段，判断模型能否从物理化学/thermodynamics情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,regeneration_tradeoff_miss,当前语境下最优先，因为“加热脉冲是再生策略，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；B: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-027,multiple_choice,Domain Core,A: best；B: data_quality_trap；C: data_quality_trap；D: evidence_scope_mismatch,识别题干中的决定性约束并给出可复核判断。,hysteresis_hidden,在结果分析阶段，判断模型能否从物理化学/hysteresis情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,hysteresis_hidden,当前语境下最优先，因为“标记湿度滞后，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,B: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；C: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；D: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-028,multiple_choice,Domain Core,A: mechanism_transfer_error；B: best；C: metric_overoptimization；D: data_quality_trap,识别题干中的决定性约束并给出可复核判断。,metric_direction_error,在结果分析阶段，判断模型能否从物理化学/sensor metrics情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,metric_direction_error,当前语境下最优先，因为“统一响应指标方向，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。；C: 在目标是单项性能摸底时，这个动作可以提供指标变化线索；但当前题干要求先解决研发判断，单项指标不能作为主依据。；D: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-029,multiple_choice,Domain Core,A: evidence_scope_mismatch；B: data_quality_trap；C: best；D: data_quality_trap,识别题干中的决定性约束并给出可复核判断。,lod_mean_only,在结果分析阶段，判断模型能否从物理化学/noise and drift情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,lod_mean_only,当前语境下最优先，因为“需要统计判定 LOD，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。；B: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；D: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-030,free_response,Domain Core,risk gates: 把表观活化能当作唯一机理证明；给出无依据精确结论；忽略基线和拟合区间,动力学计算结果的证据边界判断。,apparent_ea_overinterpretation,在结果分析阶段，让模型用结构化回答完成物理化学/arrhenius analysis相关的情境化专业判断。,动力学计算结果的证据边界判断。,高分回答需要覆盖：Arrhenius 关系；拟合区间；吸附/反应/扩散混合；重复性；机理边界,开放题无固定选项；rubric 用 key points、risk gates 和 common failure modes 诊断短答质量。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-031,free_response,Domain Core,risk gates: 只用峰值判断；跳过空白和恢复气对照；给出危险气体操作步骤,响应快但恢复慢的动力学验证设计。,protocol_missing_recovery,在实验设计阶段，让模型用结构化回答完成物理化学/kinetic protocol相关的实验设计与验证路径。,响应快但恢复慢的动力学验证设计。,高分回答需要覆盖：阶跃和恢复；腔体滞留；温湿度控制；重复循环；T90/漂移 gate,开放题无固定选项；rubric 用 key points、risk gates 和 common failure modes 诊断短答质量。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-032,free_response,Domain Core,risk gates: 把湿度影响简单平均掉；没有区分空白湿度和组合湿度；无依据宣称可补偿,湿度可补偿性和使用边界判断。,humidity_boundary_blur,在文献分析阶段，让模型用结构化回答完成物理化学/humidity modeling相关的数据解释与证据边界。,湿度可补偿性和使用边界判断。,高分回答需要覆盖：湿度空白；目标气+湿度组合；可逆性；校准残差；使用边界,开放题无固定选项；rubric 用 key points、risk gates 和 common failure modes 诊断短答质量。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-033,free_response,Domain Core,risk gates: 把流量效应直接当成材料性能变化；不检查配气和腔体；只给单一机理,流量变化下响应峰值和速度的异常诊断。,flow_effect_single_cause,在实验进行阶段，让模型用结构化回答完成物理化学/transport analysis相关的实验设计与验证路径。,流量变化下响应峰值和速度的异常诊断。,高分回答需要覆盖：外部传质；停留时间；混合误差；温湿扰动；浓度校验,开放题无固定选项；rubric 用 key points、risk gates 和 common failure modes 诊断短答质量。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
SGS-034,multiple_choice,Domain Core,A: data_quality_trap；B: mechanism_transfer_error；C: evidence_scope_mismatch；D: best,识别题干中的决定性约束并给出可复核判断。,n_type_direction_error,在结果分析阶段，判断模型能否从无机化学/metal oxide semiconductors情境中选出最符合研发约束的动作，并识别其他选项的隐藏问题。,n_type_direction_error,当前语境下最优先，因为“电子回到导带，支撑当前优先判断”最直接回答题干的核心不确定性，并保留必要的证据边界。,A: 在原始记录完整且异常来源明确时，这个动作可适合先做记录整理；但当前异常尚未归因，先整理或删改数据会削弱证据链。；B: 在材料类型和工况一致时，这个机理假设可能成立；但当前材料、载流子或工况不同，外推会造成机理错配。；C: 在证据链已经闭合时，这个解释可以作为候选结论；但当前证据只支持相关线索，还不足以推出该结论。,该题把真实研发约束压缩为可评分信号，强调证据边界、路线取舍、安全约束和错误归因。
