item_id,audit_priority,validity_verdict,difficulty_assessment,diagnostic_value,current_release_action,future_hard_leaderboard_action,key_finding,rewrite_target
SGS-HARD-022,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,B能避免在公开材料中给出可执行处置步骤；“禁写处置细节”不应阻止引用适用法规和官方废物分类。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-023,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,粉末放大前补齐暴露控制与清洁验证，C正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-024,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,未知副产物未评审前升级暴露不可接受，D正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-025,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,危险路线和绕行线索应抽象为边界判断并删除执行细节，A正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-026,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,短时低用量不能替代报警和联锁证明，B正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-027,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,缺SOP、联锁和原始日志时不能纳入正式证据，C正确；截图可保留为待核验线索而非完全丢弃。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-028,P0,invalid_gold_or_reference,overstated,limited_by_obvious_single_best_answer,retire_until_corrected,rewrite_and_revalidate,题目要求安全替代路径，C“低风险替代气体验证和判读框架”与参考解释一致；文件却把D“删除任务”标为Gold，直接错误。,repair Gold/reference before reuse
SGS-HARD-029,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,表格显示A漂移/RSD最差，转B合理；是否彻底改推B仍应结合响应差异和预设门限。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-030,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,贯穿裂纹提示结构和重复性风险，B合理；裂纹有时可增加扩散/灵敏度，需结合循环和机械稳定性，不能仅凭图像淘汰。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-031,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,曲线显示第三循环后基线不闭合，应修正摘要并标记循环风险，C正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-032,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,批记录将差异定位到干燥时间，D围绕干燥窗口重建对照。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-033,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,高响应与高湿日共现提示湿度混杂，A应先分层；元数据相关性仍不能证明全部增强来自湿度。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-034,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,错误列引用可能影响全部排序，B暂停结论并统一重算正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-035,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,数据库匹配支持把小峰改为前驱体残留候选并补对照，C保持假设边界；单一匹配不构成相鉴定。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-036,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,流量异常使该时段性能结论无效，D合理；原始数据仍应保留并标注，‘剔除’只针对结论/分析集。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-037,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,可重复筛选平台偏好B路线，选项A表述合理；缺少最低响应门和寿命权重，取舍仍依场景。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-038,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,小批量交付通常重视均匀性和产能，B合理；必须先确认快速涂布响应余量满足规格。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-039,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,低误报场景应提高阈值并做湿度分层，C直接匹配目标。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-040,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,便携设备中温点兼顾功耗/寿命，D合理；是否可用取决于低浓度判别余量。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-041,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,现场预筛优先空白和货架稳定，A选Q合理；低温储存P可能在冷链场景可行，题干未给部署条件。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-042,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,低比例SNR和批间稳定更好，B合理；响应较低是否仍满足LOD需要验证。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-043,P1,ambiguous_multiple_defensible,overstated,limited_by_obvious_single_best_answer,rewrite,replace_with_higher_information_item,维护窗口少并不自动支持弱化过滤层；若干扰风险高，过滤层仍可能必要。缺少误报成本、维护周期和过滤寿命，C不是唯一稳妥答案。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-044,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,强调长期一致性时干燥储存D合理；需验证启动慢能否通过读数窗口满足现场要求。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-045,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,n/p型载流子逻辑不同，应先确认载流子类型，A正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-046,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,纸带显色不能套用MOS耗尽层，B回到显色反应和空白边界。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-047,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,PANI-NH3通常应从质子化/去质子化与导电变化解释，C正确；湿度和形貌也可能贡献。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-048,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,贵金属敏化依赖材料、温度和气体，D限定为候选并重新条件匹配。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-049,P3,valid,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,光学颜色饱和应处理动态范围与光学校正，A正确。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
SGS-HARD-050,P2,valid_with_minor_caveat,overstated,limited_by_obvious_single_best_answer,keep_as_regression,rewrite_if_used_in_future_hard_leaderboard,纸带湿度背景应从基体吸水和试剂自反应边界解释，B正确；羟基化学仍可能参与但不是MOS载流子模型。,remove obvious lexical/safety cue; add evidence conflict or quantitative dependency
