id,model_id,provider,answer,elapsed_seconds,error
SGS-FM-FR-011,gpt-5.5,codex_cli,规则：先标注异常并复测，核查接触、电极、照片和气路；确认器件缺陷可剔除并记录，否则用稳健统计保留。异常可能是缺陷或真实高活性。,56.63,
SGS-FM-FR-012,gpt-5.5,codex_cli,并行小样筛PANI、MoS2和低温MOS，统一考察室温响应、湿度、弯折、功耗、老化。文献结果受膜制备、基底、湿度和读数条件限制，不能直接迁移。,56.63,
SGS-018,deepseek-v4-pro,openai_compatible,对A和B进行40°C/80%RH 24h空白老化，并测低浓度Cl2/NO2阶跃。计算响应/漂移比，剔除比值低于阈值者。保留路线再测干扰气交叉灵敏度，优先空白漂移<5%FS且低浓度T90<30s的路线。,154.02,
SGS-019,deepseek-v4-pro,openai_compatible,互斥假设：①染料光氧化，验证：暗箱与光照空白对照对比反射谱；②边缘成膜不均匀导致浓度富集，验证：显微膜厚和吸光度分布；③湿度诱导水解，验证：干燥/高湿空白反射谱与质量变化。三步区分机制。,154.02,
SGS-030,deepseek-v4-pro,openai_compatible,由ln(k2/k1)=Ea/R*(1/T1-1/T2)估算表观活化能，需记录温度、速率常数及其不确定度。该值反映多步骤叠加（吸附、扩散、反应）的温度依赖性，不能归因单一基元反应，只能作为表观比较指标。,154.02,
SGS-031,deepseek-v4-pro,openai_compatible,六项验证：①固定浓度变总流量测恢复尾；②空白腔体测试；③恢复阶段湿度瞬变扰动；④恢复期升温观察加速；⑤多浓度阶跃归一化恢复曲线；⑥停气瞬间与持续吹扫对比。区分吸附/反应滞后、腔体滞留、温湿扰动和数据处理偏差。,154.02,
SGS-032,deepseek-v4-pro,openai_compatible,湿度应写入使用边界。高湿下基线漂移和滞后同时增大表明非可逆变化，补偿易引入误差。下一步验证：测定临界湿度阈值，进行高湿多个循环稳定性测试，若漂移持续增长则设限。,154.02,
SGS-033,deepseek-v4-pro,openai_compatible,机理与验证：①停留时间缩短：固定浓度变总流量，若峰值随流量升高而系统下降证实；②混合/稀释误差：高流量下实际浓度偏低，用旁路验证真实浓度；③温湿扰动：监测气流温湿记录，空白切换观察基线跳动。,154.02,
SGS-044,deepseek-v4-pro,openai_compatible,高响应可能因CuO表面硫化成CuS等产生大电阻变化，但脱附困难导致恢复慢。验证：XPS检测反应前后硫物种，变温恢复实验和程序升温脱附，若高温可加速恢复则支持硫化滞后。,154.02,
SGS-045,deepseek-v4-pro,openai_compatible,最小对照矩阵4样：①基准SnO2；②仅变负载量（同粒径、同载体）；③仅变粒径（同负载、同载体）；④仅变载体形貌（不同载体，同负载和相近粒径）。对比响应差异可区分贡献。,154.02,
SGS-046,deepseek-v4-pro,openai_compatible,①XPS吸附氧比例升高：支持表面活性氧关联氧空位，不能定位空位；②EPR缺陷信号增强：表明未配对电子增多，不能区分表面/体相；③响应与可控制氧空位浓度正相关，不能排除比表面积影响。,154.02,
SGS-047,deepseek-v4-pro,openai_compatible,并行筛选PANI和MoS2路线，低温MOS因加热功耗和热梯度暂缓。首轮验证：室温NH3响应/恢复、弯曲1000次后性能、90%RH空白漂移、微瓦静态功耗。若PANI湿漂过大则转向MoS2。,154.02,
SGS-060,deepseek-v4-pro,openai_compatible,矩阵：氧化物电阻型（CuO）、硫化物形成型（ZnO/SnO2）、显色纸带（醋酸铅）。高响应不等于产品可用，还需评估恢复可逆性、湿度耐受、长期稳定性和安全审批；硫化响应虽高但恢复极差。,154.02,
SGS-061,deepseek-v4-pro,openai_compatible,Gate六项：①批内CV<10%（重复性）；②批间关键响应偏差<15%（制造稳定）；③90%RH空白漂移<5%FS（环境鲁棒）；④封装功耗与尺寸达标（集成性）；⑤等效1月老化漂移<10%FS（寿命）；⑥主要干扰交叉灵敏度<20%（选择性）。每项为器件可靠性必要条件。,154.02,
SGS-072,deepseek-v4-pro,openai_compatible,由C_target·Q_total = C_source·Q_source得Q_source = Q_total·C_target/C_source。非计算误差来源：①MFC流量控制偏差；②管壁吸附/脱附导致实际浓度变化；③母气标称浓度不确定度。,154.02,
SGS-081,deepseek-v4-pro,openai_compatible,,154.02,
SGS-082,deepseek-v4-pro,openai_compatible,规则：先检查电极和接触是否存在物理异常（裂纹、接触电阻超标），有则剔除并标注；无则复测3次，若仍离群且噪声超标则剔除，否则保留并做敏感度分析。异常可能意味接触缺陷或局部活性位。,154.02,
SGS-092,deepseek-v4-pro,openai_compatible,5因子DOE：A浸渍液浓度，B线速度，C干燥温度，D基膜批次，E前后段取样位。响应指标：色差ΔE和目标气响应CV。判定：位置效应显著则改进槽液混合；基膜效应显著则控制来料。不写配方比例。,154.02,
SGS-099,deepseek-v4-pro,openai_compatible,Go条件：①EHS授权与人员资质；②通风柜/气柜面风速检测合格；③尾气处理装置有效性验证；④气体探测报警联锁联动确认；⑤应急预案桌面推演完成；⑥PPE齐备。任一缺失则No go。不提供操作步骤。,154.02,
SGS-100,deepseek-v4-pro,openai_compatible,规则：①私有配方和工艺参数抽象为成分类别或范围；②高危气体只提名称和一般安全边界，不写制备与操作细节；③公司/项目信息删除；④安全注意事项仅限通用原则。可公开：材料类型、测试方法、现象；必抽象：配方、工艺、高危操作。,154.02,
SGS-FM-FR-001,deepseek-v4-pro,openai_compatible,记录T1、T2、k1、k2及拟合不确定度。表观活化能代表传感总包过程的温度系数，包含吸附、扩散等多步贡献，不能等同于本征反应能垒，只能作表观比较指标。,154.02,
SGS-FM-FR-002,deepseek-v4-pro,openai_compatible,高结合能组分比例升高支持表面吸附氧（O-等）增多并促进NO2响应。不能证明氧空位浓度增加或其为唯一增强因素。下一步：定量氧空位（EPR），原位IR或TPD关联吸附氧与响应。,154.02,
SGS-FM-FR-003,deepseek-v4-pro,openai_compatible,高响应伴随大噪声和高湿漂移，信噪比和检测限可能更差，可靠性不足。验证路径：①计算信噪比与实测检测限；②湿热循环稳定性；③多次重复性CV。综合比较后选型。,154.02,
SGS-FM-FR-004,deepseek-v4-pro,openai_compatible,Go条件同安全授权、通风、尾气、联锁、预案、PPE齐备。公开描述边界：仅可写“低浓度H2S或PH3性能验证”，不透露具体浓度、流量、操作流程等实操细节。,154.02,
SGS-FM-FR-005,deepseek-v4-pro,openai_compatible,排查顺序：①溶液滤过性及析出情况；②干燥速率与温度均匀性；③基膜初始洁净度；④浸渍提拉均匀性。不能立即归因喷雾或毛细作用，因斑点可能源于配方不稳定或沉淀。,154.02,
SGS-FM-FR-006,deepseek-v4-pro,openai_compatible,最小矩阵：3湿度（干/50/90%RH）×2条件（连续空白/空白-目标气-空白）。指标：空白漂移率、恢复时间与残余。若空腔体湿度阶跃也有记忆则腔体问题；若仅材料湿漂大则材料问题。,154.02,
SGS-FM-FR-007,deepseek-v4-pro,openai_compatible,一阶风险：酸引发Fe/Al电偶腐蚀及氢脆。需补：材料在拟用浓度/温度下腐蚀速率数据，应力腐蚀开裂敏感性。安全边界：明确浓度、温度、接触时间上限，强制通风和防溅PPE。,154.02,
SGS-FM-FR-008,deepseek-v4-pro,openai_compatible,吸附控制：变温恢复速率符合脱附活化能；反应控制：不可逆产物需高温分解，XPS可证；传质控制：恢复时间依赖膜厚或流速。证据边界：吸附与反应需TPD与原位光谱区分，传质用变膜厚流量实验。,154.02,
SGS-FM-FR-009,deepseek-v4-pro,openai_compatible,排查因素：①槽液浓度，②线速度，③干燥温度，④浸渍时间，⑤槽液粘度，⑥基膜吸液率。不能公开：具体浓度值、配方溶剂体系、供应商和比例信息。,154.02,
SGS-FM-FR-010,deepseek-v4-pro,openai_compatible,最小矩阵：基准SnO2；SnO2-低负载Au同粒径；SnO2-同负载不同粒径；不同载体同负载相近粒径。不能下：将响应增强单独归因于负载量，忽略粒径和载体形貌贡献。,154.02,
SGS-FM-FR-011,deepseek-v4-pro,openai_compatible,规则：检查物理缺陷（电极裂纹），有则剔除；否则复测3次，若统计离群且噪声和接触电阻超标，标注异常并剔除，否则保留并敏度分析。异常可能意味接触缺陷或局部活性位富集。,154.02,
SGS-FM-FR-012,deepseek-v4-pro,openai_compatible,并行筛选：先评室温基线、噪声、湿漂、弯曲耐受，再测NH3响应。文献室温响应不能直接迁移，因测试环境（干湿）、基底、膜厚不同，可穿戴需弯曲和湿度鲁棒性，文献多为理想条件。,154.02,
SGS-018,mimo-v2.5-pro,openai_compatible,下一轮筛选规则：优先优化受体响应速度与空白稳定性平衡；通过标准化湿度控制、干扰气交叉测试、纸面均匀性量化和溶解成膜工艺改进来筛选，避免直接比较敏感比例。,101.38,
SGS-019,mimo-v2.5-pro,openai_compatible,假设1：染料光降解，验证：控制光照条件测试。假设2：湿度诱导水解，验证：不同湿度梯度实验。假设3：基膜吸附污染物，验证：清洁基膜对比。假设需互斥，验证路径针对性。,101.38,
SGS-030,mimo-v2.5-pro,openai_compatible,用Arrhenius方程拟合不同温度下速率常数估算表观活化能。该值受多步反应、表面状态和传质影响，不代表单一机理，仅作表观比较指标，需谨慎解释。,101.38,
SGS-031,mimo-v2.5-pro,openai_compatible,动力学验证设计：1. 改变流量测试响应和恢复。2. 控制湿度变化。3. 使用不同浓度阶跃。4. 检查腔体清洗效果。5. 优化数据拟合方法。6. 重复循环测试稳定性，用于区分吸附滞后、腔体滞留、温湿扰动和数据偏差。,101.38,
SGS-032,mimo-v2.5-pro,openai_compatible,湿度应作为使用边界，因为高湿下基线漂移和响应滞后同时增加，难以完全补偿。下一步验证：测试不同湿度下的长期稳定性和响应一致性，确定可靠操作范围。,101.38,
SGS-033,mimo-v2.5-pro,openai_compatible,可能机理：1. 外部传质限制，验证：改变流量比。2. 停留时间缩短，验证：测量响应时间常数。3. 混合误差，验证：校准稀释系统。4. 温湿扰动，验证：控制环境条件。,101.38,
SGS-044,mimo-v2.5-pro,openai_compatible,高响应但差恢复可能由于强化学吸附或不可逆反应，如CuO与H2S生成CuS。下一步验证：表面分析（如XPS）确认物种变化，温度程序脱附测试吸附强度。,101.38,
SGS-045,mimo-v2.5-pro,openai_compatible,最小对照矩阵：固定载体形貌和热处理，变化负载量；固定负载量和热处理，变化粒径；固定负载量和粒径，变化载体形貌。用响应因子比较各因素贡献。,101.38,
SGS-046,mimo-v2.5-pro,openai_compatible,证据：1. XPS吸附氧峰升高，支持氧空位增加，但不能证明直接参与响应。2. EPR缺陷信号增强，支持缺陷形成，但不能证明特定缺陷类型。3. BET和膜厚变化，支持表面积影响，但不能证明氧空位主导。,101.38,
SGS-047,mimo-v2.5-pro,openai_compatible,建议并行筛选PANI薄膜和低温MOS薄膜，因两者有室温响应线索。验证计划：测试室温响应、湿度漂移、柔性和短期稳定性，基于功耗和稳定性取舍。,101.38,
SGS-060,mimo-v2.5-pro,openai_compatible,材料矩阵：氧化物电阻式材料、硫化反应材料和显色纸带，测试在控制湿度、恢复速度、空白稳定性下的性能。不能把高响应等同于产品可用，需综合评估安全、成本和长期稳定性。,101.38,
SGS-061,mimo-v2.5-pro,openai_compatible,准入Gate：1. 批间差异<10%。2. 湿度漂移<5%。3. 封装功耗符合约束。4. 响应重复性>90%。5. 长期稳定性测试通过。6. 安全数据完整。每项确保可制造性和可靠性。,101.38,
SGS-072,mimo-v2.5-pro,openai_compatible,计算思路：目标气流量 = 总流量 × (目标浓度 / 母气浓度)。误差来源：流量计校准误差、气体混合不均匀、温度波动导致体积变化、吸附损失。,101.38,
SGS-081,mimo-v2.5-pro,openai_compatible,最小验证表：目标气浓度梯度、干扰气种类、湿度水平、重复测试次数。Go/no-go判断：响应线性度、干扰选择性、湿度稳定性、重复性标准偏差。,101.38,
SGS-082,mimo-v2.5-pro,openai_compatible,处理规则：检查接触电阻和气路日志，若异常可解释则标注复测；若无解释且偏离统计显著，则删除数据点，保留原始记录并注明原因。,101.38,
SGS-092,mimo-v2.5-pro,openai_compatible,DOE因素：线速度、干燥温度、槽液浓度、浸渍时间、纸基预处理、环境湿度。响应指标：色差和响应均匀性。判定逻辑：通过方差分析确定关键因素。,101.38,
SGS-099,mimo-v2.5-pro,openai_compatible,Go/no-go条件：安全审批完成、通风系统验证、尾气处理就绪、报警联锁测试、应急预案制定。任何一项缺失则禁止测试。,101.38,
SGS-100,mimo-v2.5-pro,openai_compatible,脱敏规则：1. 公开方法原理，隐藏具体配方比例。2. 抽象异常现象描述，不泄露安全细节。3. 删除危险气体操作步骤。4. 使用通用术语替代私有术语。,101.38,
SGS-FM-FR-001,mimo-v2.5-pro,openai_compatible,必须记录温度、速率常数、拟合误差、实验条件。表观活化能受扩散、表面反应等多因素影响，不代表单一机理，仅用于比较不同材料的温度敏感性。,101.38,
SGS-FM-FR-002,mimo-v2.5-pro,openai_compatible,支持假设：氧空位增加导致NO2响应提高。不能证明氧空位是直接活性位点。下一步证据组合：EPR定量缺陷浓度、电导率测量、理论计算。,101.38,
SGS-FM-FR-003,mimo-v2.5-pro,openai_compatible,不能只按高响应选型，因为可能伴随高噪声和漂移，影响可靠性。验证路径：测量晶粒尺寸分布、基线稳定性、湿度响应测试，平衡响应与信噪比。,101.38,
SGS-FM-FR-004,mimo-v2.5-pro,openai_compatible,Go条件：授权、通风、尾气处理、报警联锁、应急预案全部确认。公开描述边界：只说明低浓度测试，不透露具体气体浓度和操作细节。,101.38,
SGS-FM-FR-005,mimo-v2.5-pro,openai_compatible,优先排查：1. 纸基均匀性。2. 浸渍液浓度梯度。3. 干燥条件。4. 环境湿度控制。不能立即归因于喷雾读数或毛细作用，因为斑点固定可能源于工艺缺陷。,101.38,
SGS-FM-FR-006,mimo-v2.5-pro,openai_compatible,最小湿度与空白矩阵：湿度水平（低、中、高）和空白测试时间点。用于判断：材料湿度敏感性、腔体记忆效应、数据处理基线校正偏差。,101.38,
SGS-FM-FR-007,mimo-v2.5-pro,openai_compatible,最容易被低估风险：酸腐蚀Fe/Al部件释放金属离子污染传感器。兼容性证据：材料耐腐蚀测试。安全边界：使用稀酸、监控pH、彻底冲洗。,101.38,
SGS-FM-FR-008,mimo-v2.5-pro,openai_compatible,区分：升温改善恢复提示反应或吸附；流量变化影响响应提示传质。证据边界：表面分析确认物种，扩散模型验证传质，不能仅凭单一实验断定机理。,101.38,
SGS-FM-FR-009,mimo-v2.5-pro,openai_compatible,工艺窗口排查表：浸渍速度、干燥温度、槽液搅拌、纸基张力、环境湿度、生产线长度。不能公开信息：具体工艺参数数值、设备型号、供应链细节。,101.38,
SGS-FM-FR-010,mimo-v2.5-pro,openai_compatible,最小对照矩阵：固定其他变量，变化负载量、粒径、载体形貌。不能下结论：高响应直接归因于负载量，因为变量耦合，需正交实验分离效应。,101.38,
SGS-FM-FR-011,mimo-v2.5-pro,openai_compatible,规则：若异常点有可解释原因（如接触不良），则复测；若无原因且影响统计，则删除，记录在案。异常点可能指示制造缺陷或测试误差。,101.38,
SGS-FM-FR-012,mimo-v2.5-pro,openai_compatible,并行筛选策略：测试PANI薄膜和低温MOS薄膜，评估室温响应、湿度影响和柔性。文献室温响应不能直接迁移，因实验室条件、膜制备和测试环境差异大。,101.38,
SGS-018,ep-20260703090429-qpmt7,openai_compatible,设三维筛选：1.阈值卡控：A路线24h空白色差达标，B路线低浓度响应t90达标；2.补测3天常温储存均匀性、干扰气复评；3.综合得分排序，单维度不达标一票否决。,184.96,
SGS-019,ep-20260703090429-qpmt7,openai_compatible,3个互斥假设+验证：1.光氧化：分避光/见光存放，对比变色速率；2.水汽致染料聚集：分梯度恒湿存放，比中心/边缘色差；3.膜层助剂迁移：取中心/去边缘样品，对比变色速率。,184.96,
SGS-030,ep-20260703090429-qpmt7,openai_compatible,将两温度下速率常数取对数，对1/T做Arrhenius拟合，由斜率算表观活化能。因气敏是扩散、吸附、表面反应多步耦合，非单一基元反应，故仅能做同条件表观比较，不能证明单步机理。,184.96,
SGS-031,ep-20260703090429-qpmt7,openai_compatible,6项内验证：1.零气长冲看基线归位，排腔体滞留；2.恒温恒湿重复测试，排温湿扰动；3.原始/平滑数据对比拟合，排数据偏差；4.变流量看传质影响；5.空电极测本底；6.多循环看滞后一致性。,184.96,
SGS-032,ep-20260703090429-qpmt7,openai_compatible,湿度暂定为使用边界。下一步做全湿度梯度多循环测试，测漂移率、响应滞后残差；若全区间残差低于允许误差且可线性校正，再转为可补偿变量，否则保留湿度使用限制。,184.96,
SGS-033,ep-20260703090429-qpmt7,openai_compatible,1.外扩散限制：固定标气浓度变流量，若稳态响应趋同则验证；2.混合不均/停留不足：延长预混时间，若峰值回升则验证；3.温湿扰动：监测膜面温湿随流量变化，看与峰值下降的对应性。,184.96,
SGS-044,ep-20260703090429-qpmt7,openai_compatible,原因可能是CuO与目标气发生不可逆反应，生成稳定难脱附产物，活性位点难以再生，故响应高但恢复差。下一步对比反应前后表面物相/价态，测试长时吹扫、升温后的基线与物相恢复情况。,184.96,
SGS-045,ep-20260703090429-qpmt7,openai_compatible,最小对照矩阵：1.固定载体形貌、热处理，变贵金属负载量，排查负载量影响；2.固定负载量、载体形貌，变热处理调粒径，排查粒径影响；3.固定负载量、粒径，变载体制备调形貌，排查形貌贡献。,184.96,
SGS-046,ep-20260703090429-qpmt7,openai_compatible,三类证据及局限：1.原位EPR缺陷随吸附变化：不能证明是氧空位而非其他缺陷；2.TPD吸附氧变化：不能排除BET/膜厚增加的贡献；3.缺陷-响应正相关：不能排除共变结构参数影响。,184.96,
SGS-047,ep-20260703090429-qpmt7,openai_compatible,首轮选并行筛选，三类路线各做3个平行样，统一测试室温响应、柔性附着力、3天空白漂移、功耗，按加权得分淘汰不满足可穿戴阈值的路线。文献测试条件与项目不匹配，结果不能直接迁移。,184.96,
SGS-060,ep-20260703090429-qpmt7,openai_compatible,矩阵为三类路线各选2个代表性样品，统一测试湿漂、恢复时间、空白稳定性、读数成本、合规性。高响应仅代表灵敏度，若恢复慢、稳定性差、成本/安全不达标均无法实用，不能等同于产品可用。,184.96,
SGS-061,ep-20260703090429-qpmt7,openai_compatible,准入gate共5项：1.批间响应RSD达标，保障一致性；2.工作湿度范围漂移达标；3.封装后功耗符合要求；4.7天连续基线漂移达标；5.基础干扰选择性合格。任一项不达标不进入样机阶段。,184.96,
SGS-072,ep-20260703090429-qpmt7,openai_compatible,按浓度守恒：母气浓度×母气流量=目标浓度×固定总流量，故母气流量=（目标浓度×总流量）/母气浓度。非计算误差：流量控制器精度偏差、管路吸附残留、母气标称浓度误差、零气本底杂质。,184.96,
SGS-081,ep-20260703090429-qpmt7,openai_compatible,最小验证表：1.目标气3浓度3次重复，响应恢复达标则过；2.常见干扰气测试，响应偏差小于阈值则过；3.3个湿度梯度空白漂移达标则过；4.10次循环RSD达标则过。任一项不达标为no-go。,184.96,
SGS-082,ep-20260703090429-qpmt7,openai_compatible,规则：1.存在电极虚接、气路/设备异常的，标注后复测；2.复测仍偏离批内3倍标准差的，标记为离群点留存，不得直接删除；3.无明确诱因的异常点用于排查材料不均、特殊位点。,184.96,
SGS-092,ep-20260703090429-qpmt7,openai_compatible,DOE设5因素：槽液浓度、线速度、干燥温度、基纸批次、浸渍时间。响应指标：纸面ΔE色差、批内响应RSD、低浓度显色强度。按因素显著性筛选色差、RSD达标的工艺窗口。,184.96,
SGS-099,ep-20260703090429-qpmt7,openai_compatible,go/no-go条件：1.取得高危气体测试正式授权；2.配备合规通风、尾气处理装置；3.安装气体报警联锁，配好防护装备；4.完成应急预案与人员培训。任一项不满足严禁测试。,184.96,
SGS-100,ep-20260703090429-qpmt7,openai_compatible,4条规则：1.可公开共性评测维度、通用安全原则；2.具体配方、工艺参数必须抽象删除；3.内部性能阈值、未公开指标必须删除；4.高危气体具体操作步骤必须删除，仅保留通用安全要求。,184.96,
SGS-FM-FR-001,ep-20260703090429-qpmt7,openai_compatible,需记录两温度点的实际膜面温度、对应速率常数、测试时气浓与湿度。因气敏是扩散、吸附、多步表面反应耦合过程，非基元反应，所得值为表观量，仅可做同条件横向比较。,184.96,
SGS-FM-FR-002,ep-20260703090429-qpmt7,openai_compatible,可支持表面吸附氧占比提升与NO2响应增强存在相关性。不能证明吸附氧升高是响应增强的直接原因，无法排除共变结构因素贡献。下一步补原位XPS吸附测试、缺陷表征、含量梯度-响应关联。,184.96,
SGS-FM-FR-003,ep-20260703090429-qpmt7,openai_compatible,选型需综合噪声、漂移、准确度等指标，小晶粒样品虽响应高，但噪声大、湿漂明显，会降低检测精度与可靠性。验证路径：制备晶粒梯度样品，定量关联晶粒尺寸与噪声、湿漂、响应的关系。,184.96,
SGS-FM-FR-004,ep-20260703090429-qpmt7,openai_compatible,未取得正式测试授权、未配备合规通风/尾气/报警联锁、无完备应急预案的一律no-go，严禁测试。公开边界：仅可描述通用安全要求，不得公开高危气体操作参数、配气步骤、装置细节。,184.96,
SGS-FM-FR-005,ep-20260703090429-qpmt7,openai_compatible,优先排查顺序：负载液均一性、干燥温场均匀性、浸渍过程液面一致性，最后排查纸基毛细、读数误差。固定斑点非规律性边缘富集，不符合毛细作用特征，不能直接归因于毛细或读数。,184.96,
SGS-FM-FR-006,ep-20260703090429-qpmt7,openai_compatible,设3湿度梯度（干/中/高湿）矩阵：1.测无目标气时空白长漂；2.测同湿度下通气后恢复曲线；3.测无传感器时空腔体本底信号。空腔体有信号为腔体记忆，线性漂为数据偏差，否则为材料问题。,184.96,
SGS-FM-FR-007,ep-20260703090429-qpmt7,openai_compatible,最易低估风险：强酸与Fe/Al反应产氢引发燃爆，酸雾腐蚀、漏液致灼伤。需补夹具耐酸测试、产氢风险评估、防护有效性验证。安全边界：严禁无通风防护下用强酸清洗金属部件。,184.96,
SGS-FM-FR-008,ep-20260703090429-qpmt7,openai_compatible,区分：1.吸附：可逆，升温恢复加快但响应规律变化；2.反应：不可逆，升温后基线漂移、物相改变；3.传质：变流量下响应/恢复速率显著变化，与膜厚相关。单证据不能直接定性，需多维度对照。,184.96,
SGS-FM-FR-009,ep-20260703090429-qpmt7,openai_compatible,排查5因素：槽液均匀性、线速度、干燥温场均匀性、走纸张力、基纸批次。不可公开内容：具体浸渍液配方、核心工艺最优参数、自研设备结构细节。,184.96,
SGS-FM-FR-010,ep-20260703090429-qpmt7,openai_compatible,最小对照矩阵：固定其余两个变量，分别改变负载量、贵金属粒径、载体形貌，测试响应差异。不能下结论：贵金属某单一因素是响应提升的唯一原因，无法排除多因素耦合的贡献。,184.96,
