item_id,set_name,subset,question_type,domain,validity_verdict,gold_reference_status,condition_sufficiency,source_support,ambiguity_severity,audit_priority,key_finding,v0_6_item_action,future_release_recommendation,confidence,review_status,parent_task_id,variant_type,expected_consistency,difficulty_assessment,diagnostic_value,recommended_action,review_identity
SGS-FM-005,main,scientific_stress_mcq,multiple_choice,toxicity_and_safety,valid,gold_unique,sufficient,scientific_stress_internal_plus_safety_rule,low,P3,浓硝酸钝化不构成直接放大依据，C是明确不应推出的结论。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-005,main,scientific_stress_free_response,free_response,organic_chemistry,valid_with_major_caveat,reference_overprioritizes_solution_state,partially_sufficient,project_analog_only,medium,P1,先查浸渍液均一性合理，但纸基毛细作用和干燥迁移不是必须后置的解释；题干未给实际溶剂体系，参考顺序过度确定。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-006,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_unique,insufficient,general_review_support,high,P1,B的分配增强/脱附受限与C的溶胀扩散受限可同时发生；D的腔体滞留也未被排除，题干不足以单选。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-006,main,scientific_stress_mcq,multiple_choice,toxicity_and_safety,valid_with_minor_caveat,gold_supported,partially_sufficient,scientific_stress_internal_plus_safety_rule,low,P2,强氧化酸中铝可能钝化，B合理；酸种类、浓度、温度和表面状态未给出，结论只能保持可能性。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-006,main,scientific_stress_free_response,free_response,analytical_chemistry,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_validation_design,low,P2,干湿空白、目标气、恢复与重复矩阵可区分材料、腔体和处理偏差；应允许通过空腔/旁路/惰性参考等不同等价设计实现。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-007,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_reasonable,partially_sufficient,general_review_support,low,P2,水竞争和硅烷层水解均是合理候选；A、D是必要对照但不如C概括主假设。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-007,main,scientific_stress_mcq,multiple_choice,organic_chemistry,valid_with_major_caveat,gold_preferred_but_wording_problem,partially_sufficient,scientific_stress_internal_only,medium,P1,极性介质可能增强离子分离并加快阳离子聚合，但“更稳定离子对”与更高传播活性表述不够严谨，且溶剂亲核性、反离子和链转移共同决定结果。,keep_unmodified,future_release_clarify_conditions_or_source,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-007,main,scientific_stress_free_response,free_response,general_chemistry,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_plus_safety_rule,low,P2,酸-金属放氢和腐蚀兼容性是合理的一阶风险；Fe与Al的钝化、酸浓度和氯离子环境需要作为条件边界。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-008,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_but_under_supported,gold_reasonable,sufficient,generic_safety_source,low,P1,肼类路线优先审查暴露与废液边界合理，但具体衍生物危害差异应依SDS而非类别名一概而论。,keep_unmodified,future_release_clarify_conditions_or_source,medium,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-008,main,scientific_stress_mcq,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_supported,partially_sufficient,scientific_stress_internal_only,low,P2,二氯甲烷相较己烷通常更利于离子型活性中心，B合理；具体速率仍依赖引发体系、反离子和杂质。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-008,main,scientific_stress_free_response,free_response,physical_chemistry,valid,reference_flexible,sufficient,synthetic_mechanism_boundary,low,P3,题目明确要求同时区分强吸附、表面反应、传质/腔体滞留，并把空白漂移纳入，具有良好开放性。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-009,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,A、B、C、D均可能成立；甲氧基/硝基影响受异构体、质子化、溶剂和产物路径制约，无法从题干唯一选A。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-009,main,scientific_stress_mcq,multiple_choice,materials_science,valid,gold_unique,sufficient,calculation_self_contained,none,P3,燃烧产物换算正确：n(C)=0.020 mol，n(H)=0.040 mol，C:H=1:2。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-009,main,scientific_stress_free_response,free_response,technical_chemistry,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_scaleup_doe,low,P2,六因素窗口与脱敏边界清楚；正式DOE还需水平、随机化、区组、交互和重复，参考要点只构成最低框架。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-010,main,domain_core_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,general_review_support,low,P3,报警纸带声称可逆时，循环恢复与基线漂移是首要验证。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-010,main,scientific_stress_mcq,multiple_choice,materials_science,valid,gold_unique,sufficient,calculation_self_contained,none,P3,等物质的量CO2与H2O对应C:H=1:2，B唯一正确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-010,main,scientific_stress_free_response,free_response,inorganic_chemistry,valid_with_major_caveat,reference_matrix_not_fully_feasible,partially_sufficient,synthetic_control_design,medium,P1,要求独立控制贵金属负载、粒径、载体形貌和热处理科学上正确，但“相似负载不同粒径/相似粒径不同负载”在真实合成中难完全正交，应接受分阶段或统计控制设计。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-011,main,domain_core_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,general_materials_support,low,P3,渗流阈值附近微小组成和形貌波动会放大电阻与重复性差异。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-011,main,scientific_stress_mcq,multiple_choice,technical_chemistry,valid,gold_unique,sufficient,experimental_design_general_rule,low,P3,动力学未知时交换处理顺序的小试是直接且低成本的因果比较，B合理。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-011,main,scientific_stress_free_response,free_response,analytical_chemistry,valid,reference_flexible,sufficient,synthetic_plus_data_integrity_rule,low,P3,原始数据保留、预设规则、原因明确时剔除、原因不明时敏感性分析和复测，处理原则完整。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-012,main,domain_core_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,general_method_support,low,P3,避光/照光对照能直接判断光老化贡献，优先级明确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-012,main,scientific_stress_mcq,multiple_choice,technical_chemistry,valid_with_minor_caveat,gold_supported,sufficient,experimental_design_general_rule,low,P2,互换顺序/受控旁路可避免凭猜测判断串联顺序，A正确；“旁路”应理解为授权实验设计而非绕过安全设施。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-FR-012,main,scientific_stress_free_response,free_response,materials_science,valid_with_minor_caveat,reference_flexible,sufficient,synthetic_route_selection,low,P2,并行比较PANI、低温MOS和MoS2复合路线并纳入湿度、功耗、柔性、弯折和封装约束，任务有效；三类不是穷尽路线。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-013,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_major_caveat,gold_is_hypothesis_not_conclusion,partially_sufficient,general_review_support,medium,P1,乙醇交叉响应支持增塑剂引入分配/溶胀混杂的候选解释，但尚不能作为确定结论；B、C才是区分路径。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-013,main,scientific_stress_mcq,multiple_choice,toxicity_and_safety,valid,gold_unique,sufficient,scientific_stress_internal_plus_safety_rule,low,P3,羧酸不构成纸基通用阻燃剂，C为明显错误泛化。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-014,main,domain_core_mcq,multiple_choice,organic_chemistry,ambiguous_multiple_defensible,gold_not_unique,insufficient,weak_generic_support,high,P1,介体降低储存稳定性是上位解释，基膜吸附和光诱导循环是具体可行机制；无暗/光、基膜和无介体对照不能优先B。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-014,main,scientific_stress_mcq,multiple_choice,toxicity_and_safety,valid,gold_unique,sufficient,scientific_stress_internal_plus_sds_rule,low,P3,名称含“酸”不能推出不可燃或阻燃，C唯一错误。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-015,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_reasonable,partially_sufficient,general_review_support,low,P2,疏水微环境可削弱水竞争，但也可能改变丙酮分配；应视为设计方向而非保证选择性提升。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-015,main,scientific_stress_mcq,multiple_choice,materials_science,valid_with_minor_caveat,gold_supported,partially_sufficient,scientific_stress_internal_only,low,P2,“高应力区一定取向更弱”是最弱反驳，C合理；题干“反驳最弱”语义绕，容易测试语言而非材料判断。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-016,main,domain_core_mcq,multiple_choice,organic_chemistry,valid_with_minor_caveat,gold_reasonable,partially_sufficient,project_analog_only,medium,P2,酸化是否抑制目标反应是关键功能门；残留酸与干燥同样重要但属于后续工艺/稳定性验证。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-016,main,scientific_stress_mcq,multiple_choice,materials_science,valid,gold_unique,sufficient,observation_self_contained,low,P3,拉伸区XRD取向更集中支持“拉伸可能诱导取向”，A保留了因果边界。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-017,main,domain_core_mcq,multiple_choice,organic_chemistry,questionable_gold,gold_scientifically_weak,insufficient,project_analog_only,high,P1,提高受体负载通常增加容量，不必然让低浓度段化学饱和；光学自吸收、背景加深、聚集和有效反应层变化均可压缩线性，A不具唯一性。,keep_unmodified,future_release_rewrite_gold_and_options,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-017,main,scientific_stress_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,textbook_rule,none,P3,"1,4-环己二烯中双键碳sp2、饱和碳sp3，A正确。",keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-018,main,domain_core_free_response,free_response,organic_chemistry,valid_with_minor_caveat,reference_reasonable,sufficient,project_analog_plus_safety,low,P2,任务完整覆盖响应、老化、干扰、均匀性和安全；参考中的go/no-go示例应视为语义阈值而非固定产品标准。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-018,main,scientific_stress_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,textbook_rule,none,P3,含双键碳和CH2的六元环同时具有sp2与sp3碳，C正确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-019,main,domain_core_free_response,free_response,organic_chemistry,valid_with_major_caveat,reference_reasonable,sufficient,general_review_support,medium,P1,要求多假设和区分实验有效，但光氧化、湿度、迁移和局部富集可并存，称为“互斥假设”不严谨，应理解为可判别假设。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-019,main,scientific_stress_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,calculation_self_contained,none,P3,质量摩尔浓度0.5 mol/kg，冰点降低0.93 °C，B正确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-020,main,domain_core_mcq,multiple_choice,physical_chemistry,questionable_gold,gold_restates_observation,insufficient,general_review_support,high,P1,升温通常加快脱附；若恢复反而变慢，应考虑不可逆反应、相变、烧结或传质/测量问题。B仅重述权衡且把“脱附变慢”当成既定机制。,keep_unmodified,future_release_rewrite_gold_and_options,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-020,main,scientific_stress_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,calculation_self_contained,none,P3,溶质0.05 mol、水0.05 kg，m=1.0 mol/kg，ΔTf=1.86 °C。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-021,main,domain_core_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,general_method_support,low,P3,平台区并入单一直线会造成模型失配；C明确指出应避免的做法。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-021,main,scientific_stress_mcq,multiple_choice,physical_chemistry,valid_with_minor_caveat,gold_supported,sufficient,thermodynamics_general_rule,low,P2,给定吸热平衡且升温后吸附量增加，A符合勒夏特列趋势；该观察不排除同时存在动力学和结构变化。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-022,main,domain_core_mcq,multiple_choice,physical_chemistry,valid_with_minor_caveat,gold_reasonable,partially_sufficient,general_review_support,low,P2,水竞争表面位点是合理首轮假设，但湿气制备可能改变乙醇实际浓度，B应作为同步质量控制。,keep_unmodified,retain_with_documented_caveat,medium_high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-022,main,scientific_stress_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,thermodynamics_general_rule,none,P3,正向吸热反应升温时平衡直接趋势向吸热方向，B正确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-023,main,domain_core_mcq,multiple_choice,physical_chemistry,ambiguous_incomplete_gold,gold_explains_only_half,insufficient,general_transport_support,high,P1,A解释T90变长，B解释响应提高；题干要求解释两个现象，最佳答案应组合吸附容量增加与扩散路径增长。,keep_unmodified,future_release_rewrite_gold_and_options,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-023,main,scientific_stress_mcq,multiple_choice,materials_science,valid,gold_unique,sufficient,mechanism_boundary_general_rule,low,P3,降温会改变过饱和度及成核/生长，但不能必然推出同时启动成核并终止生长，C确属过度确定。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-024,main,domain_core_mcq,multiple_choice,physical_chemistry,valid_with_major_caveat,gold_partial,partially_sufficient,general_review_support,medium,P1,功函数/价带/表面态有助于电子敏化判断，但不能单独区分催化溢流；还需反应动力学、原位表面物种及粒径/分散控制，D不是次要可省。,keep_unmodified,future_release_clarify_conditions_or_source,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-024,main,scientific_stress_mcq,multiple_choice,materials_science,valid,gold_unique,sufficient,experimental_design_general_rule,low,P3,粒径分布变宽的成因需要时间分辨取样和温度曲线，B提供最低必要证据。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-025,main,domain_core_mcq,multiple_choice,physical_chemistry,ambiguous_multiple_defensible,gold_product_relevant_but_not_unique,partially_sufficient,general_review_support,medium,P1,产品化确需LED功耗和光老化，但暗态对照是确认光照增益真实性的基础；A与C都属于不能漏掉的验证。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-025,main,scientific_stress_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,calculation_self_contained,none,P3,Arrhenius两点粗估约40 kJ/mol，C正确，且参考答案已明确其为表观活化能。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-026,main,domain_core_mcq,multiple_choice,physical_chemistry,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,短时热脉冲可定义为再生策略，但仍需验证循环老化、功耗和温度安全边界。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-026,main,scientific_stress_mcq,multiple_choice,analytical_chemistry,valid_with_minor_caveat,gold_supported,sufficient,calculation_self_contained_plus_method_convention,low,P2,按题设LOD=3σ/slope得到0.22 ppm，C正确；真实方法验证中系数、回归和异方差处理可能不同。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-027,main,domain_core_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,general_review_support,low,P3,应保留并分段报告湿度滞后，不能用平均基线抹平；C可作为进一步恢复性测试。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-027,main,scientific_stress_mcq,multiple_choice,materials_science,valid_with_minor_caveat,gold_supported,sufficient,synthetic_evidence_table,low,P2,A同时解释更快响应与更大漂移并保留可能性；吸附滞留和微结构演化仍是候选而非已证实机理。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-028,main,domain_core_mcq,multiple_choice,physical_chemistry,ambiguous_multiple_defensible,gold_incomplete,partially_sufficient,general_review_support,medium,P1,统一方向有利于排名，但必须同时保留Ra、Rg、原始比值和定义；C、D也是规范比较所需，B单独执行可能掩盖物理含义。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-028,main,scientific_stress_mcq,multiple_choice,inorganic_chemistry,valid,gold_unique,sufficient,synthetic_peak_table_plus_xrd_rule,low,P3,主峰保留且无新强峰支持主体相保留，峰宽增大可对应晶粒减小、结晶度下降或微应变，D边界最稳妥。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-029,main,domain_core_mcq,multiple_choice,physical_chemistry,valid,gold_unique,sufficient,authoritative_analytical_support,low,P3,均值高于空白但分布重叠不足以宣称检出，应依据空白噪声、校准斜率和预定统计准则判断LOD。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-029,main,scientific_stress_mcq,multiple_choice,technical_chemistry,valid,gold_unique,sufficient,protocol_logic_self_contained,none,P3,缺少未暴露、湿度和试剂空白会使RGB变化无法归因，D为核心缺口。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-030,main,domain_core_free_response,free_response,physical_chemistry,valid_with_minor_caveat,reference_reasonable,sufficient,general_kinetics_support,low,P2,Arrhenius处理和表观活化能边界合理；题目附带的旧hard-fail中“忽略基线/拟合区间”应降为普通扣分。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-030,main,scientific_stress_mcq,multiple_choice,analytical_chemistry,valid,gold_unique,sufficient,literature_excerpt_self_contained,none,P3,片段仅支持40%RH下响应和重复性，不能支持高湿复杂气氛选择性，C正确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-031,main,domain_core_free_response,free_response,physical_chemistry,valid_with_minor_caveat,reference_reasonable,sufficient,general_transport_support,low,P2,验证设计覆盖腔体、表面、温湿度和算法；“恢复气”应明确为经批准的洁净载气/再生条件，避免被理解为额外反应性气体。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-031,main,scientific_stress_mcq,multiple_choice,organic_chemistry,valid,gold_unique,sufficient,synthetic_observation_self_contained,low,P3,目标气氧化显色与湿度/空气氧化背景可并存，A正确且保持证据边界。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-032,main,domain_core_free_response,free_response,physical_chemistry,valid_with_minor_caveat,reference_reasonable,sufficient,general_modeling_support,low,P2,以可逆性、交互、残差和独立验证集决定补偿或使用边界合理；旧hard-fail条款过宽但不影响题目本身。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-032,main,scientific_stress_mcq,multiple_choice,materials_science,valid,gold_unique,sufficient,synthetic_evidence_table,none,P3,目标是降低误报时应优先SNR、空白波动与阈值稳定性，D与目标指标一致。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-033,main,domain_core_free_response,free_response,physical_chemistry,valid_with_minor_caveat,reference_reasonable,sufficient,general_transport_support,low,P2,机理集合和验证路径完整；“旁路验证”必须限定为批准系统内的替代流路，不能理解为绕过报警或尾气控制。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-033,main,scientific_stress_mcq,multiple_choice,technical_chemistry,valid,gold_unique,sufficient,method_excerpt_self_contained,none,P3,退火条件准确抽取为350°C、2 h、空气，B唯一正确。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-034,main,domain_core_mcq,multiple_choice,inorganic_chemistry,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,n型氧化物对还原气体的经典表面氧反应可释放电子并降低电阻；具体吸附氧物种和直接反应路径随温度与材料变化。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-034,main,scientific_stress_mcq,multiple_choice,analytical_chemistry,valid_with_major_caveat,gold_closest_but_rationale_contradictory,sufficient,calculation_self_contained,high,P0,90%最终响应为0.864，线性插值约39.4 s，A“约45 s”是最近选项；参考理由末句却写“选项中C最合理”，构成明确内部错误。,keep_unmodified,future_release_correct_reference_rationale,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-035,main,domain_core_mcq,multiple_choice,inorganic_chemistry,ambiguous_multiple_defensible,gold_not_unique,sufficient,general_review_support,medium,P1,A与B表达同一核心错误：p型中空穴降低会使电阻上升；C也与电荷转移方向相关，选项未做到互斥。,keep_unmodified,future_release_rewrite_for_single_best_answer,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-FM-035,main,scientific_stress_mcq,multiple_choice,toxicity_and_safety,valid,gold_unique,sufficient,synthetic_safety_scenario,low,P3,连续化前需系统评估芳香胺暴露、氧化剂兼容性、废物、通风和干燥风险，B完整且唯一。,keep_unmodified,retain,high,completed,,,,,,keep_unmodified_record_issue,专家 X
SGS-036,main,domain_core_mcq,multiple_choice,inorganic_chemistry,valid_with_minor_caveat,gold_reasonable,sufficient,general_review_support,low,P2,NO2受电子形成表面受体态并加宽耗尽层是合理简化；A的吸附氧耦合在部分条件下也可能参与。,keep_unmodified,retain_with_documented_caveat,high,completed,,,,,,keep_unmodified_record_issue,专家 X
