task_id,candidate_id,model_id,model_display,dimension,score,max_score,review_source
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.00,1.25,专家 X
SGS-081,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.00,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.15,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.05,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.05,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.90,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-082,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.90,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.00,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.80,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.90,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.90,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.70,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.70,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.90,1.25,专家 X
SGS-092,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.90,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.25,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,1.25,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.25,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.25,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,1.25,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.00,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.25,1.25,专家 X
SGS-099,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.25,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.00,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.85,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.00,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.00,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,1.00,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.00,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.15,1.25,专家 X
SGS-100,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.00,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.95,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.80,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.50,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.95,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.75,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.95,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.95,1.25,专家 X
SGS-FM-FR-001,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.95,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.90,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.95,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.80,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.50,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-FM-FR-002,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.05,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.95,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.80,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.95,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.95,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.30,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.95,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.95,1.25,专家 X
SGS-FM-FR-003,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.95,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.25,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,1.05,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.25,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.20,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,1.20,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.85,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.20,1.25,专家 X
SGS-FM-FR-004,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.20,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.80,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.95,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.95,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.45,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.95,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.95,1.25,专家 X
SGS-FM-FR-005,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.95,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.25,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,1.00,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.95,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.15,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.20,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.20,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.15,1.25,专家 X
SGS-FM-FR-006,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.15,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.80,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.45,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.70,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.70,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.70,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.70,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.15,1.25,专家 X
SGS-FM-FR-007,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.70,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.10,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.85,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.00,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.00,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.30,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.00,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.00,1.25,专家 X
SGS-FM-FR-008,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.00,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,0.80,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.70,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.65,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.80,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.45,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,0.60,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,0.65,1.25,专家 X
SGS-FM-FR-009,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,0.80,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.70,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,1.05,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,0.80,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.30,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-FM-FR-010,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.05,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.15,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,reasoning_path,0.90,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,evidence_boundary,1.05,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,experimental_design,0.90,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,decision_logic,1.05,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,safety_and_privacy,1.05,1.25,专家 X
SGS-FM-FR-011,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,conciseness_and_traceability,1.05,1.25,专家 X
SGS-FM-FR-012,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,final_answer_alignment,1.05,1.25,专家 X
SGS-FM-FR-012,candidate_D,deepseek-v4-pro,DeepSeek V4 Pro,professional_accuracy,0.90,1.25,专家 X
